회사명,공장주소(도로명),공장주소(지번),업종명,전화번호,종업원수(총인원),생산품,원자재
(주)더초록식품,경기도 포천시 내촌면 오림포길 45-33,경기도 포천시 내촌면 진목리 75번지,곡물 혼합분말 및 반죽 제조업 외 1 종,031-534-9998,3,"이유식,선식",식품
(주)더팜,경기도 포천시 소흘읍 아랫용상2길 25-33,경기도 포천시 소흘읍 이동교리 199번지,공기 조화장치 제조업,031-851-1472,7,자동차공조기(에어컨 콤프레샤),"comp-body, 디스크-허브,필드코일,매니폴드,풀리등"
(주)덕성섬유,경기도 포천시 소흘읍 무봉리 533-1 번지 외 1필지 외 1필지,경기도 포천시 소흘읍 무봉리 533-1 번지 외 1필지 외 1필지,편조원단 제조업,031-542-4105,4,원단,
(주)데코탑,경기도 포천시 가산면 금현리 212,경기도 포천시 가산면 금현리 212,플라스틱 필름 제조업 외 1 종,031-541-2901,18,PVC데코시트,pvc
(주)도성케미칼,경기도 포천시 내촌면 마명리 59-8 외 1필지,경기도 포천시 내촌면 마명리 59-8 외 1필지,플라스틱 필름 제조업 외 1 종,031-573-9293,34,비닐봉투,
(주)동광그린텍,경기도 포천시 영북면 영북로238번길 156-57 (총 2 필지) 외 2필지,경기도 포천시 영북면자일리 자일리492-3 외 2필지,복합비료 및 기타 화학비료 제조업 외 1 종,031-532-1731,7,유기질비료,
(주)동빈텍스타일,경기도 포천시 소흘로24번길 57 -1(소흘읍),경기도 포천시 소흘읍 무봉리 207-5,편조원단 제조업,031-544-8074,22,화섬직물(니트),폴리에스터사
(주)동빈텍스타일(제2공장),"경기도 포천시 소흘읍 소흘로24번길 61, 나동",경기도 포천시 소흘읍 무봉리 234-12 나동,편조원단 제조업 외 1 종,031-634-0867,10,"보드레, 인터록","폴리에스테르, 면"
(주)동서울씨스템,경기도 포천시 군내면 용정경제로1길 65,경기도 포천시 군내면 용정리 483-23,절삭가공 및 유사처리업,031-575-5601,12,"기계부품(섬유기계부품 등), 자동화 공정용 JIG Pallet, 내진장비(TMD, MC BRB)","스틸, 알루미늄, 나일론 블럭, Ply wood(합판)"
(주)동서인테리어,경기도 포천시 이동면 화동로1908번길 44-84,경기도 포천시 이동면 연곡리 237-7,기타 목재가구 제조업,02-6009-6704,10,"서랍장,일반가구 등",MDF합판
(주)동성나이키,경기도 포천시 가산면 우현로 25-10,경기도 포천시 가산면 우금리 710번지,목재문 및 관련제품 제조업 외 17 종,02-734-2125,21,"목재문, 창호, 일반철물,금속가구,목재가구,놀이터장비",
(주)동성사,"경기도 포천시 내촌면 오림포길 67 (가,나,바,사,아,차,카,타동) 외 1필지","경기도 포천시 내촌면 진목리 51 (가,나,바,사,아,차,카,타동) 외 1필지",일반철물 제조업 외 1 종,031-554-9955,21,"경첩,옷걸이,금속가구(금속캐비닛)","철판,알루미늄"
(주)동성식품 포천지점,경기도 포천시 군내면 용두로 47 외 4필지,경기도 포천시 군내면 용정리 6-1번지 외 4필지,"면류, 마카로니 및 유사식품 제조업",031-532-5307,11,면류(냉동면),밀가루
(주)동성아이텍 ,"경기도 포천시 내촌면 매봉길 22-67, 다동 외 2필지",경기도 포천시 내촌면 음현리 475-28 다동 외 2필지,교통 신호장치 제조업 외 2 종,031-732-1981,2,"주차안내판, 차량감지기, 차량감지센서","철판, 스테인레스"
(주)동성이엔지앤디자인,경기도 포천시 매봉길 22 -65(내촌면) 라동,경기도 포천시 내촌면 음현리 475-28 라동,금속 스프링 제조업 외 4 종,031-732-1981,2,"콘솔데스크,진동방지장치,면진테이블,월모니터(브래킷)","목자재, MDF, PB, 철재,스프링"
(주)동성판금플랜트,경기도 포천시 소흘읍 무봉리 211-1,경기도 포천시 소흘읍 무봉리 211-1,금속 가구 제조업 외 4 종,031-544-9275,6,"금속 케이스, 금속 구조물, 버스 승강장, 금속 휴지통  ","철판, 철봉"
(주)동아에스디아이,경기도 포천시 내촌면 부마로282번길 82-27,경기도 포천시 내촌면마명리 마명리117-10,자동차용 금속 압형제품 제조업 외 7 종,031-531-3292,4,"증기보일러,알루미늄압연,도로설치용휴지통,주방기구,금속세면대,감자탈피기,가스대제조등","스텐레스판, 철판등"
(주)동아월드,"경기도 포천시 가산면 가산로194번길 48-1, 차동, 카동","경기도 포천시 가산면 가산리 474-1번지 차동, 카동",배전반 및 전기 자동제어반 제조업,031-928-0860,3,"분전함, 단자함",
(주)동양공조기계설비,경기도 포천시 내촌면 능곡청정길 51-38,경기도 포천시 내촌면 내리 114-2번지,구조용 금속 판제품 및 공작물 제조업,031-574-2302,5,닥트,
(주)동양잠파스,경기도 포천시 소흘읍 죽엽산로35번길 71,경기도 포천시 소흘읍 이가팔리 241번지,육류 기타 가공 및 저장처리업 (가금류 제외) 외 4 종,031-542-3983,6,"육포,곡분과자,건포류",육류
(주)동양특장,경기도 포천시 내촌면 소학리 211-4 외 3필지,경기도 포천시 내촌면 소학리 211-4 외 3필지,차체 및 특장차 제조업,031-529-2288,10,특장차,"철판,형강류"
(주)동우인더스트리,"경기도 포천시 신북면 청신로 1937, 가동 일부",경기도 포천시 신북면 신평리 480-2 가동 일부,침구 및 관련제품 제조업,031-997-5000,6,매트,폴리에스터 솜
(주)동우티앤씨,"경기도 포천시 내촌면 부마로 333-7, 제1동",경기도 포천시 내촌면 마명리 252-17 제1동,그 외 기타 1차 철강 제조업,031-528-4117,5,슈(SH) (건축기둥설치용도),철판
(주)동원콘크리트,경기도 포천시 일동면 영일로534번길 26,경기도 포천시 일동면 길명리 684-2번지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",031-533-0912,10,"콘크리트 벽돌,속빈콘크리트블록,콘크리트 경계블록","모래,석분,시멘트"
(주)동원파이프,경기도 포천시 신북면 호국로2472번길 18 외 1필지,경기도 포천시 신북면 만세교리 36-6번지 외 1필지,"플라스틱 선, 봉, 관 및 호스 제조업",031-531-5577,15,"PE수도관,PE하수관",
(주)동원피앤비,경기도 포천시 송우로 227 (동교동),경기도 포천시 동교동 538-22,육류 포장육 및 냉동육 가공업 (가금류 제외),031-542-0206,12,축산물가공식품,"냉동소고기,  냉동돼지고기"
(주)동일알엔피,경기도 포천시 영북면 호국로3620번길 30,경기도 포천시 영북면 야미리 144-13,합성수지 및 기타 플라스틱 물질 제조업,031-536-7009,3,플라스틱 사출 원료,"DP81, 카본, 안료"
(주)동일자동차공업사,경기도 포천시 소흘읍 죽엽산로 28,경기도 포천시 소흘읍 이가팔리 324-0번지,건설 및 채광용 기계장비 제조업,031-541-6002,11,중장비부품,
(주)동하,"경기도 포천시 영중면 양문공단로3길 71-54, 가동, 다동","경기도 포천시 영중면 양문리 11-4 가동, 다동",강화 및 재생 목재 제조업,031-541-0743,5,합성목재,"플라스틱, 목분"
(주)동해화스너,경기도 포천시 소흘읍 무봉로 105,경기도 포천시 소흘읍 무봉리 521번지,단추 및 유사 파스너 제조업,031-541-4714,14,"단추,화스터",
(주)두리씨오,경기도 포천시 가산면 정금로473번길 13-24 외 2필지,경기도 포천시 가산면 금현리 173-4 외 2필지,그 외 기타 플라스틱 제품 제조업,031-544-0432,10,금속제 빨래건조대,철자재(스테인레스 파이프)
(주)두양,경기도 포천시 군내면 용정1길 50 외 1필지,경기도 포천시 군내면 용정리 199-37번지 외 1필지,단추 및 유사 파스너 제조업,031-535-0234,63,단추,
(주)두원(포천 1공장),경기도 포천시 영북면 호국로 3504,경기도 포천시 영북면 야미리 313-7번지,플라스틱 필름 제조업 외 18 종,080-117-0222,14,"자수명찰,마크,마스크,의복액서서리,기타가구등","연질폴리염화비닐(PVC),면원단,부지포,자수사,면사,폴리포리스,철재판"
(주)두웰텍스,경기도 포천시 호국로 1101-21 (선단동),경기도 포천시 선단동 1-6번지,편조원단 제조업,031-532-0634,27,니트원단,
(주)듀벨,"경기도 포천시 내촌면 매봉길 34, (음현리497-2) 외 3필지",경기도 포천시 내촌면 음현리 497-2번지 (음현리497-2) 외 3필지,액체 여과기 제조업,031-574-4252,34,"연수기,정수기",플라스틱성형품
(주)드림월드,"경기도 포천시 군내면 용정경제로1길 72, 3층",경기도 포천시 군내면 용정리 484-5 3층,기타 직물제품 제조업,02-857-1237,5,KF94 마스크,"MB필터, 부직포"
(주)디도,경기도 포천시 가산면 정금로162번길 47-1 외 2필지,경기도 포천시 가산면 정교리 286번지 외 2필지,편조원단 제조업,031-541-1982,18,니트원단,원사
(주)디에스나이키,경기도 포천시 가산면 포천로898번길 79,경기도 포천시 가산면 마산리 14-4,목재문 및 관련제품 제조업 외 15 종,02-734-2125,21,"철재,목재가구,플라스틱 품목","철재,목재가구,플라스틱"
(주)디에스아이씨,경기도 포천시 신북면 장자경제로 69-28,경기도 포천시 신북면 신평리 663번지,모피 및 가죽 제조업,031-540-3300,176,"소가죽, 양가죽",WET SALTED CATTLE HIDES / PICKLED LAMB PELTS
(주)디에이치나노텍,"경기도 포천시 해룡로 83-99, 나동 (설운동) 외 1필지",경기도 포천시 설운동 584-2번지 나동 외 1필지,그 외 기타 고무제품 제조업,031-383-2736,11,고무발포제(파이프보온카바),
(주)디에이치에너지시스템,"경기도 포천시 자작로 155, 경기대진테크노파크 508호 (자작동)",경기도 포천시 자작동 588-4 경기대진테크노파크 508호,축전지 제조업,070-4048-2131,2,스마트 배터리,"리튬단전지, Capacitor, BMS, 메인보드, 본체 케이스"
(주)디에이치콘크리트,경기도 포천시 일동면 수입로 213-1,경기도 포천시 일동면 수입리 524-6번지,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",031-531-2860,4,"벽돌, 블럭등","골재, 시멘트"
(주)디엘디지글라스,"경기도 포천시 가산면 금현리 0 C23-1,2,3(포천금현일반산업단지)","경기도 포천시 가산면 금현리 0 C23-1,2,3(포천금현일반산업단지)",안전유리 제조업,031-541-6151,25,"복층,접합,강화유리","판유리, PVB필름"
(주)디엘바스텍,경기도 포천시 내촌면 부마로291번길 3,경기도 포천시 내촌면 마명리 273-18번지,일반철물 제조업 외 3 종,031-533-8990,7,"경첩, 볼트,너트","철봉, 알루미늄봉,  아연"
(주)디엘테크,"경기도 포천시 가산면 가산로194번길 48-1, (가동)",경기도 포천시 가산면 가산리 474-1 (가동),유선 통신장비 제조업,031-851-4898,3,유선 통신 장비,"철판,플라스틱,금속"
(주)디지털파워,경기도 포천시 소흘읍 한성길 84-7,경기도 포천시 소흘읍 고모리 54-2번지,배전반 및 전기 자동제어반 제조업,070-4234-2017,8,배전반,"금속케이스, 전기자재,변압기,차단기 등"
(주)디지텍,"경기도 포천시 소흘읍 초가팔로2길 30-1, 가동",경기도 포천시 소흘읍 초가팔리 226-24번지 가동,배전반 및 전기 자동제어반 제조업,031-541-1100,5,배전반,
(주)디케이엠엔이,경기도 포천시 영북면 영북로238번길 156-57 (총 2 필지) 외 1필지,경기도 포천시 영북면 자일리 492-3번지 외 1필지,그 외 기타 특수목적용 기계 제조업 외 8 종,02-462-0041,12,상하수처리기기,
(주)디테코,경기도 포천시 소흘읍 거친봉이1길 20 외 2필지,경기도 포천시 소흘읍 무봉리 453 번지 외 2필지,그 외 기타 전자부품 제조업 외 1 종,031-873-7075,3,통신세대단자함,
(주)디포인덕션,경기도 포천시 창수면 가영로150번길 60-52 외 1필지,경기도 포천시 창수면 가양리 368 외 1필지,주방용 전기기기 제조업,02-444-5895,20,상업용인덕션 주방기기기,"스테인레스판재, PCS, 코일"
(주)라쉬반코리아,"경기도 포천시 가산면 가산로 201-10, (A동 1층 우측 건물)",경기도 포천시 가산면 방축리 134-6 (A동 1층 우측 건물),속옷 및 잠옷 제조업,031-544-0802,9,내의 의류,스판
(주)랜드피엔피,경기도 포천시 군내면 반월산성로375번길 20,경기도 포천시 군내면 구읍리 114번지,"플라스틱 선, 봉, 관 및 호스 제조업 외 1 종",031-533-4055,7,폴리에틸렌관,폴리에틸렌(PE)
(주)랩디자인,"경기도 포천시 내촌면 금강로2895번길 25, (소학리 32-19) 외 1필지",경기도 포천시 내촌면 소학리 32-19번지 (소학리 32-19) 외 1필지,기타 목재가구 제조업 외 4 종,031-531-8440,13,"실험대,씽크대,약품장,무균대,무균함 등","금속,목재,철 등"
(주)레오퍼니쳐,경기도 포천시 마전길 65 -33(가산면) 1층,경기도 포천시 가산면 마전리 435-2 1층,기타 목재가구 제조업,02-1544-4143,10,장롱,mdf
(주)레이디창,경기도 포천시 영중면 은잿말길 144,경기도 포천시 영중면 거사리 962-1번지,커튼 및 유사제품 제조업 외 1 종,031-847-8982,4,"블라인드,롤스크린,어닝,차양",
(주)로고농업회사법인,경기도 포천시 내촌면 내진로 310-16 외 8필지,경기도 포천시 내촌면 진목리 350-5번지 외 8필지,목재 깔판류 및 기타 적재판 제조업,031-541-3838,29,목재파렛트,목재
(주)로나스코스메틱,경기도 포천시 소흘읍 소흘로139번길 52-18,경기도 포천시 소흘읍 초가팔리 191번지,화장품 제조업,02-974-6445,6,마스크 팩,"규조토,알지네이트"
(주)로뎀푸드,경기도 포천시 화동로 513 (화현면) 외 2필지,경기도 포천시 화현면 화현리 393-7 외 2필지,곡물 혼합분말 및 반죽 제조업 외 3 종,031-8089-6502,70,"죽,옹심이,찰바,떡류,면류,소스류","쌀,호박,소고기,야채등"
(주)로뎀푸드 제2공장,경기도 포천시 화현면 화동로 514,경기도 포천시 화현면 화현리 1163,기타 식사용 가공처리 조리식품 제조업 외 5 종,031-8089-6519,20,"제육볶음불고기, 기타부재료, 선식, 볶음천일염, 볶음밥, 부침개반죽, 계란말이,지단,용기잡채,용기떡볶이","육류, 야채류, 소금, 부재료"
