순번,회사명,공장대표주소(도로명),공장대표주소(지번),업종명,전화번호,팩스번호,종업원수,생산품명,데이터기준일자
104,(주)산하,경기도 하남시 천현로134번길 66 (천현동),경기도 하남시 천현동 67번지,수산동물 냉동품 제조업,031-796-3513,,3,수산물,2025-06-30
105,(주)삼성셀코,경기도 하남시 서하남로588번길 60 (교산동),경기도 하남시 교산동 98-1번지,경 인쇄업 외 3 종,031-791-8498,031-791-8497,2,"프린터인쇄,배전반,사무실및가정용조명기구,광고용조명판",2025-06-30
106,(주)삼전기술,경기도 하남시 샘재로104번길 9 (천현동),경기도 하남시 천현동 350-4번지,배전반 및 전기 자동제어반 제조업,031-792-3943,031-792-3948,6,배전반 및 전기자동제어반제조,2025-06-30
107,(주)상원수산,경기도 하남시 하남대로654번길 24-20 (천현동),경기도 하남시 천현동 62-20번지,수산동물 냉동품 제조업,031-796-6860,,7,수산물 등,2025-06-30
108,(주)서경라이텍,"경기도 하남시 조정대로 35, 미사하우스디엘타워 F611호 (풍산동)",경기도 하남시 풍산동 492번지 미사하우스디엘타워 F611호,일반용 전기 조명장치 제조업 외 3 종,02-473-3889,02-473-6274,8,"비전기식 조명기구, 보안등, 광고용 조명장치(고보, 투광기 포함)",2025-06-30
109,(주)서륭물산,경기도 하남시 초이로99번길 47 (초이동),경기도 하남시 초이동 99번지,플라스틱 필름 제조업 외 1 종,,02-429-0627,7,아크릴 모노,2025-06-30
110,(주)서이시스템,"경기도 하남시 미사강변중앙로7번안길 25, A동 502,503호(풍산동)","경기도 하남시 풍산동 595-1 A동 502,503호","전기회로 개폐, 보호장치 제조업 외 1 종",02-2299-1237,02-6958-9876,4,"빌딩자동제어장치, 배전/조정장치 및 액세서리, 자동제어반",2025-06-30
111,(주)선두인제니움,"경기도 하남시 미사강변서로 25, 4층 451호(풍산동, 미사 테스타타워 지식산업센터)",경기도 하남시 풍산동 489 미사 테스타타워 지식산업센터 4층 451호,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업",031-551-7749,,4,"시험기 계측장비,내구성 및 성능 평가 시험장비",2025-06-30
112,(주)선푸드림,경기도 하남시 초일로105번길 47 (초일동),경기도 하남시 초일동 203-2번지,수산동물 냉동품 제조업,070-4348-4260,031-794-8998,4,수산물,2025-06-30
113,(주)성덕푸드 하남공장,"경기도 하남시 조정대로 150, 6층 625 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 6층 625,기타 과실ㆍ채소 가공 및 저장 처리업,1599-1147,,2,과채주스,2025-06-30
114,(주)성신에이엘에스,경기도 하남시 천현로134번길 91-34 (천현동),경기도 하남시 천현동 62-6번지,"금속 문, 창, 셔터 및 관련제품 제조업 외 2 종",02-3427-2226,02-3427-2224,5,알루미늄창호,2025-06-30
115,(주)성우식품,경기도 하남시 산곡동로32번길 46 (하산곡동),경기도 하남시 하산곡동 366-11번지,가금류 가공 및 저장 처리업,031-791-8115,031-791-9989,14,계육,2025-06-30
116,(주)성일화학,"경기도 하남시 미사강변서로 25, 미사테스타타워 F601~F607, S601 (풍산동)","경기도 하남시 풍산동 489번지 미사테스타타워 F601~F607, S601",설치용 및 위생용 플라스틱제품 제조업,031-8027-6888,031-8027-6889,20,샤워기헤드,2025-06-30
117,(주)성혜정보통신,"경기도 하남시 조정대로 35, F201호 (풍산동)",경기도 하남시 풍산동 492번지 F201호,유선 통신장비 제조업 외 1 종,031-5175-4036,031-790-3037,4,"유선통신장비,안면인식열화상카메라",2025-06-30
118,(주)세이프헬스케어,경기도 하남시 하남대로 947 (풍산동) A동 10층 1020호,경기도 하남시 풍산동 618-0,기타 직물제품 제조업 외 9 종,070-4351-2565,031-5180-3161,4,"마스크, 테이블린넨,근무복,우의,재킷,여성용정장,블라우스,와이셔츠,슬립,손수건,캠핑용직물제품",2025-06-30
119,(주)세익,경기도 하남시 감이동 184-14번지,경기도 하남시 감이동 184-14번지,"탭, 밸브 및 유사장치 제조업",02-478-6033,02-478-6077,13,분배기,2025-06-30
120,(주)세진섬유,경기도 하남시 초광산단로 130 (광암동),경기도 하남시 광암동 82-21번지,기타 직물제품 제조업,02-485-7555,02-477-7501,17,세포직물섬유,2025-06-30
121,(주)세형산업,"경기도 하남시 검단로 32 (하산곡동, 세영산업(주))",경기도 하남시 하산곡동 75-5번지,간판 및 광고물 제조업,,031-794-8811,8,광고물(야립간판/건축물),2025-06-30
122,(주)솔빛,"경기도 하남시 하남대로 990, 411,412호(풍산동, 로얄팰리스 테크노1차)","경기도 하남시 풍산동 601 로얄팰리스 테크노1차 411,412호",무인 항공기 및 무인 비행장치 제조업,02-6959-1053,02-6959-1053,6,"농업용드론,인명구조용 드론",2025-06-30
123,(주)스마텍,"경기도 하남시 조정대로 150, 아이테코 357호 (덕풍동)",경기도 하남시 덕풍동 762번지,일반용 전기 조명장치 제조업,031-790-1840,031-790-1841,5,"형광등기구, LED조명기구",2025-06-30
124,(주)스마트비전,"경기도 하남시 조정대로 150,  845호 (덕풍동)",경기도 하남시 덕풍동  762번지,교통 신호장치 제조업 외 5 종,031-790-1420,031-790-1440,8,"교통량조사기, 파장분할다중화기, 보안용카메라, 무인통행료징수기, 차량검지기, 무인교통감시장치",2025-06-30
125,(주)스마트아이,"경기도 하남시 미사강변중앙로31번길 30, 9층 915호(풍산동, 미사동일 넥서스)",경기도 하남시 풍산동 588-5 미사동일 넥서스 9층 915호,그 외 기타 전자부품 제조업 외 3 종,031-758-0525,031-758-0526,5,"5인지 인증장비(3G통신, GPS, 블루투스,RFID), 비상경보기",2025-06-30
126,(주)스프라우트커피,경기도 하남시 산곡동로32번길 29 (하산곡동),경기도 하남시 하산곡동 352-7번지,커피 가공업,1599-5730,031-793-5730,2,원두커피,2025-06-30
127,(주)시내엔들,"경기도 하남시 미사강변서로 25, 4층 441호(풍산동, 미사 테스타타워 지식산업센터)",경기도 하남시 풍산동 489 미사 테스타타워 지식산업센터 4층 441호,직물포대 제조업 외 1 종,02-448-0023,02-448-5150,3,직물포대/섬유돌망태/스톤네트,2025-06-30
128,(주)시스템테크,"경기도 하남시 미사강변서로 16, 하우스디스마트밸리 에프622호 (풍산동)",경기도 하남시 풍산동 490-2번지 하우스디스마트밸리 에프622호,그 외 기타 전자부품 제조업 외 3 종,031-5175-7223,031-5175-7224,3,"마이크로웨이브, 마이컴, 통신실험장비",2025-06-30
129,(주)시에이치무역,경기도 하남시 초일로 395 (초일동),경기도 하남시 초일동 3번지,커튼 및 유사제품 제조업 외 1 종,02-488-0276,02-488-0279,7,커튼레일 및 커튼,2025-06-30
130,(주)신동양,"경기도 하남시 조정대로 150, 하남 아이테코 801호~808호 (덕풍동)",경기도 하남시 덕풍동 762번지,전기경보 및 신호장치 제조업,031-790-1675,031-790-1679,20,소방기구,2025-06-30
131,(주)신승티엘,"경기도 하남시 조정대로 150,  하남아이테코 824호 (덕풍동)",경기도 하남시 덕풍동 762 번지 하남아이테코 824호,방송장비 제조업,031-790-1486,,10,CATV관련,2025-06-30
132,(주)신영정보기술,"경기도 하남시 조정대로 150,  하남아이테코 지식산업센터 945호 (덕풍동)",경기도 하남시 덕풍동  762번지,배전반 및 전기 자동제어반 제조업,02-446-7464,,6,"배전반 및 전기자동제어반, 불꽃감지센서",2025-06-30
133,(주)신장바이오,"경기도 하남시 산곡북로 32-22, 2층,1층 (하산곡동)","경기도 하남시 하산곡동 389번지 2층,1층",단미 사료 및 기타 사료 제조업,031-791-2549,050-4389-2549,3,반려동물 사료 및 간식,2025-06-30
134,(주)신장바이오,경기도 하남시 초광산단서로 13 (초이동),경기도 하남시 초이동 625,단미 사료 및 기타 사료 제조업,031-791-2549,0504-389-2549,1,단미 및 기타사료,2025-06-30
135,(주)신장산업,경기도 하남시 풍산동 335-2.3번지,경기도 하남시 풍산동 335-2.3번지,종이 포대 및 가방 제조업,031-794-0760,,6,종이쇼핑백,2025-06-30
136,(주)신화메디,"경기도 하남시 조정대로 150, 4층 416 (덕풍동)",경기도 하남시 덕풍동 762번지 4층 416,의료용품 및 기타 의약 관련제품 제조업,031-790-1070,031-790-1071,17,체외진단용 시약,2025-06-30
137,(주)신화물산,"경기도 하남시 조정대로 150, 1층 106 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 1층 106,산업용 냉장 및 냉동 장비 제조업 외 5 종,031-790-1003,,5,"제빙기,냉동기,용접기 외",2025-06-30
138,(주)심텍,"경기도 하남시 조정대로 150, 3층 337 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 3층 337,전기식 진단 및 요법 기기 제조업,031-790-1517,031-790-1519,3,의료기기,2025-06-30
139,(주)썬이에스티,"경기도 하남시 하남대로 947, D동 5층 504,505호(풍산동, 하남테크노밸리 U1 CENTER)","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER D동 5층 504,505호",배전반 및 전기 자동제어반 제조업,02-487-6055,02-489-5030,23,MCC PANEL PLC제어반 배전반 및 전기자동제어반,2025-06-30
140,(주)썸이미지니어링,"경기도 하남시 미사강변서로 25, 5층 512호(풍산동, 미사 테스타타워 지식산업센터)",경기도 하남시 풍산동 489 미사 테스타타워 지식산업센터 5층 512호,전시용 모형 제조업,02-3143-5522,02-3143-5540,17,실물모형,2025-06-30
141,(주)씨에이티,"경기도 하남시 조정대로 150, 4층 406 (덕풍동)",경기도 하남시 덕풍동 762번지 4층 406,기체 여과기 제조업,1600-2546,031-790-4425,5,"전기집진기(x-ray unit,초음파unit)",2025-06-30
142,(주)씨젠 1센터,"경기도 하남시 초광산단로 71(광암동, 한결산업)",경기도 하남시 광암동 399-1 한결산업,의료용품 및 기타 의약 관련제품 제조업,02-2240-0010,02-2240-4040,45,진단시약용 효소,2025-06-30
143,(주)씨젠 2센터,"경기도 하남시 초광산단로 37(초이동, 한설식품 하남공장)",경기도 하남시 초이동 624-5 한설식품 하남공장,의료용품 및 기타 의약 관련제품 제조업,02-2240-0010,02-2240-4040,35,진단시약,2025-06-30
144,(주)씨젠 4센터,"경기도 하남시 초광산단서로16번길 17(초이동, 씨에스하남공장)",경기도 하남시 초이동 623-3 씨에스하남공장,의료용품 및 기타 의약 관련제품 제조업 외 1 종,02-2240-0010,02-2240-4040,24, 진단시약,2025-06-30
145,(주)씨젠 5센터,경기도 하남시 초광산단로 67(광암동),경기도 하남시 광암동 399,의료용품 및 기타 의약 관련제품 제조업,02-2240-0010,02-2240-4040,24,핵산추출시약,2025-06-30
146,(주)씨젠 6센터 ,"경기도 하남시 초광산단로 41(초이동, 해양에프에스)",경기도 하남시 초이동 623-9 해양에프에스,의료용품 및 기타 의약 관련제품 제조업,02-2240-0010,02-2240-4040,21,진단시약용 원료,2025-06-30
147,(주)아덴트로봇,"경기도 하남시 하남대로 947, A동 13층 1309호(풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER A동 13층 1309호,산업용 로봇 제조업,070-8861-8300,031-5180-3553,7,산업용 이동로봇,2025-06-30
148,(주)아비즈,"경기도 하남시 하남대로 947, A동 916,917,918,919호 (풍산동, 하남테크노밸리 U1 CENTER) 외 1필지","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER A동 916,917,918,919호",경 인쇄업,02-364-4709,031-699-8587,70,"포토북, 포토달력, 포토앨범, 기타 상업인쇄",2025-06-30
149,(주)아원,"경기도 하남시 조정대로 150, 4층 447~449 (덕풍동, 아파트형공장 ITECO)",경기도 하남시 덕풍동 762번지 아파트형공장 ITECO 4층 447~449,일반용 전기 조명장치 제조업,031-790-4414,,1,조명기구,2025-06-30
150,(주)아이비스시스템,"경기도 하남시 조정대로 150, 아이테코 864호 (덕풍동)",경기도 하남시 덕풍동 762번지,기타 주변기기 제조업,031-796-4611,031-790-4610,9,전자지불시스템,2025-06-30
151,(주)아이스펄,경기도 하남시 조정대로 150 (덕풍동) 아이테코,경기도 하남시 덕풍동 762-0 아이테코,떡류 제조업 외 1 종,,031-790-1028,7,"타피오카펄,떡류",2025-06-30
152,(주)아이엘미디어,"경기도 하남시 하남대로 947, A동 7층 703호(풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER A동 7층 703호,유선 통신장비 제조업 외 4 종,031-8028-7660,031-5180-3771,12,"방송장비,신호변환기,영상기록및재생용기기,스피커,코르세트",2025-06-30
153,(주)아이엠테크,"경기도 하남시 미사강변서로 25, 5층 542호(풍산동, 미사 테스타타워 지식산업센터)",경기도 하남시 풍산동 489 미사 테스타타워 지식산업센터 5층 542호,금속 표시판 제조업 외 1 종,,070-8220-2466,1,간판 및 광고물,2025-06-30
154,(주)아이지코,"경기도 하남시 조정대로 150, 4층 424 (덕풍동)",경기도 하남시 덕풍동  762번지,사무용 기계 및 장비 제조업,031-790-1799,031-790-1779,6,"교통요금징수시스템장비,티켓자동발매기",2025-06-30
155,(주)아이티리소스,경기도 하남시 초이로 80 (초이동),경기도 하남시 초이동 261-5 번지,"치약, 비누 및 기타 세제 제조업",02-478-9353,,4,천연비누,2025-06-30
156,(주)아조이엔지,"경기도 하남시 하남대로 947, D동 7층 707호(풍산동, 하남테크노밸리 U1 CENTER)",경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER D동 7층 707호,승강기 제조업,02-567-4330,02-567-5333,6,"승강장문이탈방지, 엘리베이터 전용부품 등",2025-06-30
157,(주)아피스전자,"경기도 하남시 서하남로41번길 24-1, 2층 (감북동)",경기도 하남시 감북동 412-2번지,전기경보 및 신호장치 제조업 외 1 종,02-470-2601,02-471-9349,19,주차 관제장치,2025-06-30
158,(주)알렉스인터내셔널,"경기도 하남시 신우실로 100, 420,441호(감이동, 현대 테라타워 감일)","경기도 하남시 감이동 474-1 현대 테라타워 감일 420,441호",일반용 전기 조명장치 제조업 외 2 종,02-474-9083,02-488-0843,4,"조명기구, 조형물",2025-06-30
159,(주)앙팡드봉봉,"경기도 하남시 하남대로 947, D동 702,703호 (풍산동, 하남테크노밸리 U1 CENTER) 외 1필지","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER D동 702,703호",과자류 및 코코아 제품 제조업,031-8028-0102,050-4020-1001,15,솜사탕,2025-06-30
160,(주)애니텍코리아,경기도 하남시 초일로105번길 65 (초일동),경기도 하남시 초일동 215-8번지,간판 및 광고물 제조업,02-499-8060,02-499-8062,8,"광고물,LED라이트박스 등",2025-06-30
161,(주)앤에이치팜,경기도 하남시 덕풍북로 26-3 (덕풍동),경기도 하남시 덕풍동 214-18번지,그 외 기타 식료품 제조업 외 1 종,031-796-5733,031-796-5731,2,참옻환 외,2025-06-30
162,(주)앰틱스바이오,"경기도 하남시 하남대로 947, A동 901,902,903,904,1304호(풍산동, 하남테크노밸리 U1 CENTER)","경기도 하남시 풍산동 618 하남테크노밸리 U1 CENTER A동 901,902,903,904,1304호",의료용품 및 기타 의약 관련제품 제조업,031-5175-8214,031-5175-8211,6,의료기기(히알루론산 필러),2025-06-30
