È¸»ç¸í,¾÷Ã¼À¯Çü,¾÷Á¾¸í,»ý»êÇ°,ÀüÈ­¹øÈ£,ÆÑ½º¹øÈ£,¼ÒÀçÁöÁö¹øÁÖ¼Ò,¼ÒÀçÁöµµ·Î¸íÁÖ¼Ò,µ¥ÀÌÅÍ±âÁØÀÏ
(ÁÖ)³×¿ÀÆÄ¿öÅØ,¹ýÀÎ,"Àü±âÈ¸·Î °³Æó, º¸È£ÀåÄ¡ Á¦Á¶¾÷ ¿Ü 2 Á¾","SMPS(Àü¿ø°ø±Þ±â), ½ÅÈ£ ¹ß»ý±â",031-382-9474,031-382-9422,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045 ±ºÆ÷IT¹ë¸® Aµ¿ 2303È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, Aµ¿ 2303È£(´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®)",2025-09-15
(ÁÖ)³×Åè(ÁöÁ¡),¹ýÀÎ,±âÅ¸ ¹«¼± Åë½ÅÀåºñ Á¦Á¶¾÷ ¿Ü 2 Á¾,RFID¸®´õ±â,070-5080-0617,02-523-3039,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 16-1¹øÁö ÇÑ¼ÖÅ×Å©³ëÅ¸¿î 5Ãþ 507È£,"°æ±âµµ ±ºÆ÷½Ã °æ¼ö´ë·Î 455, 5Ãþ 507È£ (´çÁ¤µ¿, ÇÑ¼ÖÅ×Å©³ëÅ¸¿î)",2025-09-15
(ÁÖ)³Ø¼Ö,¹ýÀÎ,"¹°Áú °Ë»ç, ÃøÁ¤ ¹× ºÐ¼®±â±¸ Á¦Á¶¾÷","±Ý¼Ó°ËÃâ±â, »ê¾÷±â±â",031-427-4107,031-427-4109,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-40¹øÁö ÇÑ¸²ÈÞ¸ÕÅ¸¿ö 7Ãþ 713-1,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 172, 7Ãþ 713-1 (±ÝÁ¤µ¿, ÇÑ¸²ÈÞ¸ÕÅ¸¿ö)",2025-09-15
(ÁÖ)³Ø½ºÅØ,¹ýÀÎ,¹èÀü¹Ý ¹× Àü±â ÀÚµ¿Á¦¾î¹Ý Á¦Á¶¾÷,ÀÚµ¿È­ PLC ÆÇ³Ú¿Ü,031-470-2740,031-470-2741,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-42¹øÁö ¿¥Å×Å©³ë¼¾ÅÍ 511È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø±æ 46, ¿¥Å×Å©³ë¼¾ÅÍ 511È£ (´çÁ¤µ¿)",2025-09-15
(ÁÖ)³Ø½ºÅØ,¹ýÀÎ,À¯¼± Åë½ÅÀåºñ Á¦Á¶¾÷ ¿Ü 1 Á¾,PCB ASS'Y,031-462-1193,,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1243 (ÁÖ)À¯ÅÚ 1Ãþ 101È£,"°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î 82, 1Ãþ 101È£(ºÎ°îµ¿, (ÁÖ)À¯ÅÚ)",2025-09-15
(ÁÖ)³ë³ªÅØ,¹ýÀÎ,¾×Á¤ Ç¥½ÃÀåÄ¡ Á¦Á¶¾÷,ÈÞ´ëÆù¿ë ÇÊ¸§ °¡°ø,031-436-0777,031-436-0778,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522¹øÁö ±ºÆ÷SKº¥Æ¼¿ò 104µ¿ 9Ãþ 901È£,902È£","°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î27¹ø±æ 37, 104µ¿ 9Ãþ 901È£,902È£ (´çÁ¤µ¿, ÇÑ±â¾÷»ç)",2025-09-15
"(ÁÖ)³ë¹ÙÄÉ¾î (526,527È£)",¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀÇ·á¿ë ±â±â Á¦Á¶¾÷,Àü±âºÐÇØ±â±â,031-438-2017,031-417-7188,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1246 526È£,"°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î7¹ø±æ 8, 526È£(ºÎ°îµ¿) ¿Ü 1ÇÊÁö",2025-09-15
(ÁÖ)³ëº§Å×Å©³î·ÎÁö,¹ýÀÎ,±âÅ¸ ¹«¼± Åë½ÅÀåºñ Á¦Á¶¾÷ ¿Ü 2 Á¾,ÅÂ¾ç±¤ ¸ð´ÏÅÍ¸µ ½Ã½ºÅÛ ¿Ü,031-477-9621,031-477-9622,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 1026-30 ¿¡½º¿¡ÀÌÅ¸¿ö 404-BÈ£,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 175, 404-BÈ£(»êº»µ¿, ¿¡½º¿¡ÀÌÅ¸¿ö)",2025-09-15
(ÁÖ)³ëºêÄÄ,¹ýÀÎ,À¯¼± Åë½ÅÀåºñ Á¦Á¶¾÷,"±¤ºÐ¹èÇÔ,ÆÐÄ¡ÄÚÆ®µî",031-451-5511,031-451-5512,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 171-3¹øÁö,"°æ±âµµ ±ºÆ÷½Ã »êº»·Î86¹ø¾È±æ 10, 3Ãþ (´çÁ¤µ¿)",2025-09-15
(ÁÖ)³ó½É,¹ýÀÎ,°úÀÚ·ù ¹× ÄÚÄÚ¾Æ Á¦Ç° Á¦Á¶¾÷ ¿Ü 2 Á¾,"¸é·ù, ½º³¼·ù",031-450-5511,031-450-5580,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 247 ³ó½É(ÁÖ),"°æ±âµµ ±ºÆ÷½Ã ³ó½É·Î 35(´çÁ¤µ¿, ³ó½É(ÁÖ)) ¿Ü 1ÇÊÁö",2025-09-15
(ÁÖ)´©¸®¹ÙÀÌ¿ÀÅØ,¹ýÀÎ,±âÅ¸ ½ÄÇ° Ã·°¡¹° Á¦Á¶¾÷ ¿Ü 6 Á¾,"¾Ö¿Ïµ¿¹°¿ë º¸Á¶»ç·á, ½ÄÇ°Ã·°¡¹°, Å»ÃëÁ¦",031-459-9521,031-459-9523,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 325-32¹øÁö (3Ãþ),"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î60¹ø±æ 12, (3Ãþ) (´çÁ¤µ¿)",2025-09-15
(ÁÖ)´©¸®ÆùÁî,¹ýÀÎ,À¯¼± Åë½ÅÀåºñ Á¦Á¶¾÷,"±¤Á¡ÆÛÄÚµå,±¤ºÐ¹èÇÔ",031-427-6031,031-427-6032,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 2-3¹øÁö ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ 10Ãþ 1001, 1002È£","°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 13, 10Ãþ 1001, 1002È£ (´çÁ¤µ¿, ½ÅÀÏITÀ¯ÅäÁö½Ä»ê¾÷¼¾ÅÍ)",2025-09-15
(ÁÖ)´º·¹ÆÄ»ý¸í°øÇÐ,¹ýÀÎ,°¡Á¤¿ë Àü±â ³­¹æ±â±â Á¦Á¶¾÷,"´º·¹ÆÄ ¸ÅÆ®, ¹èµ¤°Ô, ¸ñ¹êµå",070-5224-2457,031-452-7941,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522-0 SKº¥Æ¼¿ò,°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166 (´çÁ¤µ¿) SKº¥Æ¼¿ò 102µ¿ 905È£,2025-09-15
(ÁÖ)´º¿£½º,¹ýÀÎ,À¯¼± Åë½ÅÀåºñ Á¦Á¶¾÷,À§Ä¡ÃßÀû±â(µ¿¹°¿ë),070-4353-3913,02-3008-8823,°æ±âµµ ±ºÆ÷½Ã »êº»µ¿ 18-36 ¾ÆÆú·ÎÅ¸¿î °øÀå 301-3È£ ÀÏºÎ,"°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î182¹ø±æ 14, 301-3È£ ÀÏºÎ(»êº»µ¿, ¾ÆÆú·ÎÅ¸¿î °øÀå)",2025-09-15
(ÁÖ)´ºÅ¾Å×Å©,¹ýÀÎ,»ê¾÷Ã³¸®°øÁ¤ Á¦¾îÀåºñ Á¦Á¶¾÷,"ÀÚµ¿³ª»ç Ã¼°á±â, ÀÚµ¿È­ ±â°è",031-456-0930,031-457-0931,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 694-39¹øÁö,"°æ±âµµ ±ºÆ÷½Ã Èï¾È´ë·Î 15-31 (±ÝÁ¤µ¿, ´ºÅ¾Å×Å©)",2025-09-15
(ÁÖ)´Ù´Ï¿¤À¯·®°è,¹ýÀÎ,¼Óµµ°è ¹× Àû»ê°è±â Á¦Á¶¾÷,¿¬·á¹ÌÅÍ±â,031-0455-9886,031-453-7985,°æ±âµµ ±ºÆ÷½Ã ´çµ¿ 39-3¹øÁö ½Å¶óÅ×Å©³ëºô °¡µ¿ 7Ãþ 703-1È£,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î 90, °¡µ¿ 7Ãþ 703-1È£ (´çµ¿, ½Å¶óÅ×Å©³ëºô)",2025-09-15
(ÁÖ)´Ùºñ´ÙÄñ,¹ýÀÎ,¼ÅÃ÷ ¹× ºí¶ó¿ì½º Á¦Á¶¾÷ ¿Ü 10 Á¾,"³²ÀÚÁ¤º¹,¿©ÀÚÁ¤º¹,¼Ó¿Ê,¼ÅÃ÷,¿îµ¿º¹,ÀüÅõº¹,°¡¹æ,ÆíÁ¶ÀÇº¹,±×¿Ü±âÅ¸ ÀÇº¹¾×¼¼¼­¸®,±âÅ¸Á÷¹°Á¦Ç° µî",02-543-6555,02-543-6555,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 512-7,°æ±âµµ ±ºÆ÷½Ã ºÀ¼º·Î 60 (´çÁ¤µ¿) 3Ãþ,2025-09-15
(ÁÖ)´Ù»ê³×Æ®¿÷½º,¹ýÀÎ,À¯¼± Åë½ÅÀåºñ Á¦Á¶¾÷ ¿Ü 1 Á¾,³×Æ®¿÷Àåºñ,070-7010-1000,031-622-6501,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1247-4¹øÁö,°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î 57 (ºÎ°îµ¿),2025-09-15
(ÁÖ)´Ù½º,¹ýÀÎ,±âÅ¸ ¹«¼± Åë½ÅÀåºñ Á¦Á¶¾÷ ¿Ü 1 Á¾,"PCB Ass'y (Ç÷´ç°è, Door Lock, ºñµ¥ PCB Ass'y))",031-427-4000,031-427-8000,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 500-1 Cµ¿ 2Ãþ,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 72, Cµ¿ 2Ãþ(´çÁ¤µ¿)",2025-09-15
(ÁÖ)´Ù¿ÈÅØ,¹ýÀÎ,±Ý¼Ó °¡±¸ Á¦Á¶¾÷,Æ¿ÆÃ ¾Ñ¼¼ÀÌ(¸®ÇÁÆ®¾÷ ¼ö³³Ä§´ë¿ë Æ¿ÆÃ ±â±¸¹°),070-4651-1356,050-5800-1005,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522¹øÁö SK º¥Æ¼¿ò 101µ¿ 606È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 101µ¿ 606È£ (´çÁ¤µ¿, SK º¥Æ¼¿ò)",2025-09-15
(ÁÖ)´Ù¿ìENG,¹ýÀÎ,Æ÷Àå¿ë ÇÃ¶ó½ºÆ½ ¼ºÇü¿ë±â Á¦Á¶¾÷,Æ÷Àå¿ë ÇÃ¶ó½ºÆ½ ¼ºÇü¿ë±â Á¦Á¶¾÷,031-459-0688,031-459-0689,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 85-1¹øÁö,°æ±âµµ ±ºÆ÷½Ã °í·¡µé±æ 46 (´çÁ¤µ¿),2025-09-15
(ÁÖ)´Ù¿ì¾¾¿£¿¡½º,¹ýÀÎ,±âÅ¸ ¹«¼± Åë½ÅÀåºñ Á¦Á¶¾÷,ÀüÀÚºÎÇ°,070-7854-2812,031-478-3375,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1247-4¹øÁö,°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î 57 (ºÎ°îµ¿),2025-09-15
(ÁÖ)´Ù¿ìÅÚ·¹ÄÞ,¹ýÀÎ,À¯¼± Åë½ÅÀåºñ Á¦Á¶¾÷,À¯¹«¼±Åë½ÅÀåºñ ¿Ü,031-478-3370,031-478-3375,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1247-4¹øÁö,°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î 57 (ºÎ°îµ¿),2025-09-15
(ÁÖ)´ÙÀ§½Ç¾÷Á¤°ø,¹ýÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷,"ÀÚµ¿Â÷ºÎÇ°,ÀüÀÚºÎÇ°",031-453-1605,031-451-2067,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 474 »ïÇ³ÇÁ¶óÀÚ 202È£,"°æ±âµµ ±ºÆ÷½Ã ºÀ¼º·Î 82-7, 202È£(´çÁ¤µ¿, »ïÇ³ÇÁ¶óÀÚ)",2025-09-15
(ÁÖ)´ÙÀÎ»êÀü,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀüÀÚºÎÇ° Á¦Á¶¾÷,"ÀÎ¹öÅÍ ¹× ºÎÇÏ½ÃÇè±â, ÄÁÆ®·Ñ À¯´Ö, HMI",031-456-7690,031-462-7966,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1243-2¹øÁö,°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î 70 (ºÎ°îµ¿),2025-09-15
(ÁÖ)´Üµð¸ÞÄ«,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀÏ¹Ý¸ñÀû¿ë ±â°è Á¦Á¶¾÷,ÁÖ¹®Çü ÀÚµ¿È­Àåºñ,031-342-5700,031-342-5701,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 352-17 Ã¢Á¶»ê¾÷ 1Ãþ,"°æ±âµµ ±ºÆ÷½Ã »êº»·Î85¹ø±æ 22, 1Ãþ(´çÁ¤µ¿, Ã¢Á¶»ê¾÷)",2025-09-15
(ÁÖ)´ë±¤»êÀü,¹ýÀÎ,¹èÀü¹Ý ¹× Àü±â ÀÚµ¿Á¦¾î¹Ý Á¦Á¶¾÷,¹èÀü¹Ý,031-453-8292,031-453-8295,°æ±âµµ ±ºÆ÷½Ã ´çµ¿ 134-8¹øÁö,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 105 (´çµ¿, ´ë±¤»êÀü)",2025-09-15
(ÁÖ)´ë¸²¼Ò¹æ°ø»ç,¹ýÀÎ,±× ¿Ü ±âÅ¸ ºÐ·ù ¾ÈµÈ ±Ý¼Ó °¡°ø Á¦Ç° Á¦Á¶¾÷ ¿Ü 1 Á¾,°£ÀÌ½ºÇÁ¸µÅ¬·¯¼³ºñ,031-465-1501,050-5544-4585,°æ±âµµ ±ºÆ÷½Ã ´çµ¿ 135-1 ¹øÁö µ¿¿µº¥Ã³½ºÅÚ ÁöÇÏÃþ 1È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 97, µ¿¿µº¥Ã³½ºÅÚ ÁöÇÏÃþ 1È£ (´çµ¿)",2025-09-15
(ÁÖ)´ë¸²¿£Áö´Ï¾î¸µ,¹ýÀÎ,ÀÎ¼â ¹× Á¦Ã¥¿ë ±â°è Á¦Á¶¾÷ ¿Ü 2 Á¾,"ÀÎ¼â±â°è, µµÀå¼³ºñ, ÀÎ¼â",031-452-8117,031-456-9071,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 169-2¹øÁö 1Ãþ,"°æ±âµµ ±ºÆ÷½Ã »êº»·Î86¹ø±æ 14, 1Ãþ (´çÁ¤µ¿)",2025-09-15
(ÁÖ)´ëº¸,¹ýÀÎ,ÁÖÇü ¹× ±ÝÇü Á¦Á¶¾÷,±ÝÇü,031-455-1100,031-455-5911,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 161-1¹øÁö,"°æ±âµµ ±ºÆ÷½Ã Èï¾È´ë·Î18¹ø±æ 29 (±ÝÁ¤µ¿, (ÁÖ)´ëº¸)",2025-09-15
(ÁÖ)´ë¼º¸¶¸®ÇÁ,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀÇ·á¿ë ±â±â Á¦Á¶¾÷ ¿Ü 1 Á¾,»çÁö¾Ð¹Ú¼øÈ¯Ä¡·á±âµî,031-459-7211,031-459-7215,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 689-31 (ÁÖ)´ë¼º¸¶¸®ÇÁ,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 298-24(±ÝÁ¤µ¿, (ÁÖ)´ë¼º¸¶¸®ÇÁ)",2025-09-15
(ÁÖ)´ë½Å¾ÆÀÌÅØ,¹ýÀÎ,¾È°æ ¹× ¾È°æ·»Áî Á¦Á¶¾÷ ¿Ü 1 Á¾,"±¤ÇÐ°è,3Â÷¿øÃøÁ¤±â,¿ÀÅäÆÝÄª±â,Á¶¸íÄÜÆ®·Ñ·¯",031-427-0100,031-427-0200,"°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 1-40¹øÁö ÇÑ¸²ÈÞ¸ÕÅ¸¿ö 3Ãþ 301, 301-1, 301-2È£","°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î 172, 3Ãþ 301, 301-1, 301-2È£ (±ÝÁ¤µ¿, ÇÑ¸²ÈÞ¸ÕÅ¸¿ö)",2025-09-15
(ÁÖ)´ë¿µ¾¾¾ØÆ¼,¹ýÀÎ,"±âÅ¸ ÃøÁ¤, ½ÃÇè, Ç×ÇØ, Á¦¾î ¹× Á¤¹Ð±â±â Á¦Á¶¾÷ ¿Ü 2 Á¾",½ÃÇè±â °èÃøÀåºñ Á¦Á¶ ¹× ±³Á¤,031-458-1425,031-458-1180,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 181-29¹øÁö,°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î140¹ø¾È±æ 10-10 (´çÁ¤µ¿),2025-09-15
(ÁÖ)´ë¿ÕÁ¦Áö±ºÆ÷°øÀå,¹ýÀÎ,À§»ý¿ë Á¾ÀÌÁ¦Ç° Á¦Á¶¾÷,È­ÀåÁö¿ø´Ü,031-452-8230,031-457-2528,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 239-4¹øÁö,°æ±âµµ ±ºÆ÷½Ã ¿¤¿¡½º·Î45¹ø±æ 84 (´çÁ¤µ¿),2025-09-15
(ÁÖ)´ë¿øÆ®·Î´Ð½º,¹ýÀÎ,ÀÌµ¿ÀüÈ­±â Á¦Á¶¾÷,ÇÚµåÆù ¾ÈÅ×³ª,031-451-3166,031-451-3165,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522¹øÁö SK º¥Æ¼¿ò 102µ¿ 6Ãþ 603È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 102µ¿ 6Ãþ 603È£ (´çÁ¤µ¿, SK º¥Æ¼¿ò) 102µ¿ 603È£",2025-09-15
(ÁÖ)´ëÀ¯¹Ìµð¾î½Ã½ºÅÛÁî,¹ýÀÎ,À¯¼± Åë½ÅÀåºñ Á¦Á¶¾÷ ¿Ü 1 Á¾,ÁöÇÏÀç¹æ¼ÛÀåÄ¡,070-5055-2358,055-603-2369,°æ±âµµ ±ºÆ÷½Ã ±ÝÁ¤µ¿ 689-6 ÇÑ¸²º¥ÃÄÅ¸¿î 503È£,"°æ±âµµ ±ºÆ÷½Ã °ø´Ü·Î 284, 503È£(±ÝÁ¤µ¿, ÇÑ¸²º¥ÃÄÅ¸¿î)",2025-09-15
(ÁÖ)´ëÇÑÀüÀÚ,¹ýÀÎ,ÀüÀÚºÎÇ° ½ÇÀå±âÆÇ Á¦Á¶¾÷,"ÀüÀÚ°ü·Ã PCB ASS'Y,ÀÇ·á±â PCB ASS'Y",031-429-7104,031-429-7105,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 110-3¹øÁö 3Ãþ,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î28¹ø±æ 49, 3Ãþ (´çÁ¤µ¿)",2025-09-15
(ÁÖ)´ëÈï,¹ýÀÎ,ÆÇÁö »óÀÚ ¹× ¿ë±â Á¦Á¶¾÷ ¿Ü 1 Á¾,"°ñÆÇÁö, ¼îÇÎ¹é",031-457-0111,031-457-0116,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 473¹øÁö,"°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î 31 (´çÁ¤µ¿, (ÁÖ)´ëÈï)",2025-09-15
(ÁÖ)´ëÈïºÐÃ¼,¹ýÀÎ,µµÀå ¹× ±âÅ¸ ÇÇ¸·Ã³¸®¾÷,"ºÐÃ¼µµÀå, ¾×½´µ¥ÀÌÅÍ,ÀÇ·á±âÄ«¹Ù,¹ÝµµÃ¼Àåºñ",031-429-7700,031-429-7701,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 360-2¹øÁö,°æ±âµµ ±ºÆ÷½Ã »êº»·Î85¹ø±æ 13-1 (´çÁ¤µ¿),2025-09-15
(ÁÖ)´õºíÀ¯¿¡½º¿¡ÀÌ,¹ýÀÎ,±âÃ¼ ÆßÇÁ ¹× ¾ÐÃà±â Á¦Á¶¾÷,"Áø°øÆßÇÁ, Áø°ø°ÔÀÌÁö",031-426-8536,031-426-8539,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 327-20¹øÁö,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î60¹ø¾È±æ 11 (´çÁ¤µ¿),2025-09-15
(ÁÖ)´õºíÀ¯Æ¼ÀÌ,¹ýÀÎ,"¹°Áú °Ë»ç, ÃøÁ¤ ¹× ºÐ¼®±â±¸ Á¦Á¶¾÷","IOTÃøÁ¤±â, È¯°æ°èÃø±â",031-8086-7107,031-8086-7109,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045 ±ºÆ÷IT¹ë¸® B-2004È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, B-2004È£(´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®)",2025-09-15
(ÁÖ)´õ½ºÅÄ´Ùµå,¹ýÀÎ,°ø±â Á¶È­ÀåÄ¡ Á¦Á¶¾÷ ¿Ü 1 Á¾,"Å©¸°·ë ÀåÄ¡, ÀÇ·á±â±â",02-838-5533,02-838-5523,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1242¹øÁö,°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î 120 (ºÎ°îµ¿),2025-09-15
(ÁÖ)µ§Å°½ºÆ®,¹ýÀÎ,ÀÇ·á¿ëÇ° ¹× ±âÅ¸ ÀÇ¾à °ü·ÃÁ¦Ç° Á¦Á¶¾÷ ¿Ü 1 Á¾,"Ä¡°ú¿ë ·¹Áø, Ä¡°ú¿ëÀÎ»óÁ¦",031-458-3232,031-458-2556,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 265¹øÁö,°æ±âµµ ±ºÆ÷½Ã ³ó½É·Î 3 (´çÁ¤µ¿),2025-09-15
(ÁÖ)µµ¿ïÅ×Å©,¹ýÀÎ,±× ¿Ü ±âÅ¸ ±Ý¼Ó°¡°ø¾÷,RF Adaptor,02-3666-6341,031-629-6341,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 1045 ±ºÆ÷IT¹ë¸® Aµ¿ 702È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î148¹ø±æ 17, Aµ¿ 702È£(´çÁ¤µ¿, ±ºÆ÷IT¹ë¸®)",2025-09-15
(ÁÖ)µµ¿ø¼Ö·ç¼Ç,¹ýÀÎ,±× ¿Ü ±âÅ¸ ÀüÀÚºÎÇ° Á¦Á¶¾÷,"Æ®·£½ºÆ÷¸Ó,ÃÊÅ©ÄÚÀÏ",031-223-9059,,°æ±âµµ ±ºÆ÷½Ã ºÎ°îµ¿ 1246 ±ºÆ÷ ¿¡ÀÌ½º ´õºíÀ¯¹ë¸® 1µ¿ 7Ãþ 718È£,"°æ±âµµ ±ºÆ÷½Ã ±ºÆ÷Ã·´Ü»ê¾÷2·Î7¹ø±æ 8, 1µ¿ 7Ãþ 718È£(ºÎ°îµ¿, ±ºÆ÷ ¿¡ÀÌ½º ´õºíÀ¯¹ë¸®)",2025-09-15
(ÁÖ)µ¹´ã,¹ýÀÎ,Ç¥¸éÃ³¸® ¹× ÀûÃþ Á÷¹° Á¦Á¶¾÷ ¿Ü 2 Á¾,"ÀÌºÒ¼Ø,¸ÅÆ®¼Ø,ÆÐµù¼Ø",031-452-4871,031-459-0929,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 23-5¹øÁö,°æ±âµµ ±ºÆ÷½Ã ³ó½É·Î 88-44 (´çÁ¤µ¿) ¿Ü 2ÇÊÁö,2025-09-15
(ÁÖ)µ¿¸í½Ã½ºÅÛÁî,¹ýÀÎ,¹èÀü¹Ý ¹× Àü±â ÀÚµ¿Á¦¾î¹Ý Á¦Á¶¾÷,¹èÀü¹Ý,031-427-7405,070-7837-1304,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 522¹øÁö SK º¥Æ¼¿ò 104µ¿ 9Ãþ 904-1È£,"°æ±âµµ ±ºÆ÷½Ã °í»ê·Î 166, 104µ¿ 9Ãþ 904-1È£ (´çÁ¤µ¿, SK º¥Æ¼¿ò)",2025-09-15
(ÁÖ)µ¿ºÎÀÚµ¿Â÷°ø¾÷»ç,¹ýÀÎ,Æ®·¹ÀÏ·¯ ¹× ¼¼¹ÌÆ®·¹ÀÏ·¯ Á¦Á¶¾÷ ¿Ü 1 Á¾,ÀÚµ¿Â÷ ¹× Æ®·¹ÀÏ·¯ Á¦Á¶,031-429-3355,031-456-0504,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 342-2,°æ±âµµ ±ºÆ÷½Ã »êº»·Î 90 (´çÁ¤µ¿) 2Ãþ,2025-09-15
(ÁÖ)µ¿¼º±â¾÷,¹ýÀÎ,Æ÷Àå¿ë ÇÃ¶ó½ºÆ½ ¼ºÇü¿ë±â Á¦Á¶¾÷,SMDÆ÷ÀåÀç,031-459-3393,031-459-3396,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤µ¿ 508-3¹øÁö,°æ±âµµ ±ºÆ÷½Ã ´çÁ¤·Î27¹ø±æ 43 (´çÁ¤µ¿),2025-09-15
