회사명,공장대표주소(도로명),공장대표주소(지번),업종명,전화번호,팩스번호,종업원수,생산품,주원자재
(주)세한에너지,"경기도 의왕시 경수대로391번길 14-11, 4층 (오전동)",경기도 의왕시 오전동 38-1 번지 4층,가정용 전기 난방기기 제조업,031-383-3004,031-383-3040,8,"온수관보일러,히트파이프",
(주)소렉,"경기도 의왕시 오봉산단1로 12, 9층 22호(이동)",경기도 의왕시 이동 732 9층 22호,그 외 기타 달리 분류되지 않은 제품 제조업,,,3,전자장비 기구장치,금속
(주)수양,"경기도 의왕시 벌새전리길 18(고천동, 암시스)",경기도 의왕시 고천동 405 암시스,과자류 및 코코아 제품 제조업 외 1 종,031-426-3588,031-426-3589,4,"와플 과자류, 아이스크림용 콘, 아이스크림 스푼","밀가루, 목재"
(주)슈발바하,"경기도 의왕시 이미로 40, D동 3층 308 (포일동)",경기도 의왕시 포일동 653번지 D동 3층 308,맥아 및 맥주 제조업,031-8069-8854,031-781-6333,3,맥주,"정제수, 맥아, 홉, 효모"
(주)스마트일렉,"경기도 의왕시 이미로 40, C동 B110호, B111호, B동 501호(포일동, 인덕원IT밸리)","경기도 의왕시 포일동 653 인덕원IT밸리 C동 B110호, B111호, B동 501호",기타 전기 변환장치 제조업,02-1877-3327,031-8069-8360,15,전기차용 충전기,"충전커넥터, PSU, 누전차단기, 충전기외함"
(주)스마트자전거,"경기도 의왕시 고래들길 57(오전동, ㈜삼천리자전거)",경기도 의왕시 오전동 150-10 ㈜삼천리자전거,자전거 및 환자용 차량 제조업,031-460-3014,031-794-8869,7,자전거 및 환자용 차량 제조,자전거부품
(주)스마트전산,"경기도 의왕시 경수대로 361-9, 외1필지 (오전동)",경기도 의왕시 오전동 206-3번지 외1필지,기타 기계.장비 조립용 플라스틱 제품 제조업 외 1 종,1544-9284,031-453-2984,5,프린터 부품 및 프린터 제조,
(주)스크린야구왕,"경기도 의왕시 이미로 40, A동 4층 413~416 (포일동)",경기도 의왕시 포일동 653번지 A동 4층 413~416,기타 운동 및 경기용구 제조업,031-366-1202,031-8084-3606,26,"스크린야구시뮬레이터, 스크린골프시뮬레이터, 사격시뮬레이터, 양궁시뮬레이",
(주)스폰피아,"경기도 의왕시 고래들길 25 (오전동, 동양상사)",경기도 의왕시 오전동 40번지,폴리스티렌 발포 성형제품 제조업 외 1 종,031-452-8158,031-454-8159,23,화장용스폰지,NBR LATEX
(주)시몬느액세서리컬렉션,경기도 의왕시 경수대로 279 (고천동),경기도 의왕시 고천동 317-1번지,핸드백 및 지갑 제조업,031-477-1430,031-420-0313,341,"핸드백, 지갑","가죽, PVC섬유"
(주)식스디그리즈,경기도 의왕시 한밭들길 13 (고천동),경기도 의왕시 고천동 404번지,산업용 로봇 제조업,031-454-9337,031-455-9338,7,"반도체 생산용 로봇, 스테이지, IOT제품",
(주)신바이오,"경기도 의왕시 오전공업길 19, 5층 510 (오전동, 대현테크노월드)",경기도 의왕시 오전동 174번지 대현테크노월드 5층 510,기타 비알코올 음료 제조업,031-892-2112,031-696-6750,3,"장뇌삼겔,평온겔",
(주)신영이엔씨,"경기도 의왕시 오전공업길 13, 1108호 (오전동)",경기도 의왕시 오전동 196-5번지 벽산선영테크노피아 A동 1108호,공기 조화장치 제조업,031-459-7870,031-459-7873,3,"공기조화기, 팬콜유니트",
(주)신용산업,경기도 의왕시 오봉산단2로 21 (삼동),경기도 의왕시 삼동 404-2번지,금속 위생용품 제조업 외 1 종,031-458-7361,031-458-7363,32,업무용 대형연소기,
(주)신우,경기도 의왕시 맑은내1길 47 (고천동),경기도 의왕시 고천동 332-26번지,그 외 기타 플라스틱 제품 제조업,031-423-2171,031-423-2175,123,플라스틱 성형제품,플라스틱
(주)신진디앤피,경기도 의왕시 월암길 62-1 (월암동),경기도 의왕시 월암동 312-4,위생용 종이제품 제조업,,,3,화장지,펄프
(주)신화테크놀로지,"경기도 의왕시 오봉산단1로 12, 5층 512호 (이동)",경기도 의왕시 이동 732 5층 512호,절연 코드세트 및 기타 도체 제조업,031-462-5563,,6,덕트스트립,펄프
(주)썬메디칼,"경기도 의왕시 고산로 74 (고천동, 성진아파트형공장)",경기도 의왕시 고천동 407-1번지,정형외과용 및 신체보정용 기기 제조업 외 1 종,031-457-9967,031-457-9968,31,"의료용실리콘재료, 마스크",부직포 외
(주)썬웨이브텍,"경기도 의왕시 양지편2로 11, 2층 (청계동)",경기도 의왕시 청계동 990-3번지 2층,방송장비 제조업 외 2 종,031-421-0457,031-421-0458,22,기지국감시장치,
(주)씨씨엠솔루션,"경기도 의왕시 경수대로 257, 10층 1007 (고천동, 대영골든밸리)",경기도 의왕시 고천동 290-2번지 대영골든밸리 10층 1007,"사진기, 영사기 및 관련 장비 제조업 ",070-4120-9519,031-450-6553,6,소형카네라모듈,"FPCB, Sensor, Holder,Lens"
(주)씨앤포이엔지,"경기도 의왕시 이미로 40, C동 10층 1001 (포일동)",경기도 의왕시 포일동 653번지 C동 10층 1001,기기용 자동측정 및 제어장치 제조업,031-421-0314,031-8084-3132,19,"자동차용 측정장비, 엔진시험장비","DC power supply, 스틸블럭, 스틸브라켓 외"
(주)씨엘프라임,"경기도 의왕시 오봉산단3로 25, 1동 1108호(삼동, 의왕테크노파크 더리브 비즈원)",경기도 의왕시 삼동 745 의왕테크노파크 더리브 비즈원 1동 1108호,설치용 및 위생용 플라스틱제품 제조업,,0504-370-4286,1,위생 비닐장갑,"폴리에스테르, TPU"
(주)씨지라이팅,"경기도 의왕시 이미로 40, D동 7층 10-3호(포일동, 인덕원IT밸리)",경기도 의왕시 포일동 653 인덕원IT밸리 D동 7층 10-3호,일반용 전기 조명장치 제조업,02-596-5747,02-596-5749,5,LED조명장치,"LED칩, 컨버터, 기구 외"
(주)아썸에어로,경기도 의왕시 초평로 118 (초평동),경기도 의왕시 초평동 402-8번지,기타 직물제품 제조업 외 10 종,031-462-4468,031-462-4469,9,낙하산 등 봉제품,"원단  , 금구류, 웨빙"
(주)아이디에스,"경기도 의왕시 오봉산단3로 25, 1401호 (삼동)",경기도 의왕시 삼동 7451401호,컴퓨터 제조업,031-8004-1738,031-4521-738,6,산업용 컴퓨터,컴퓨터 부품
(주)아이비,"경기도 의왕시 한밭들1길 11, B동 4층 1 (고천동)",경기도 의왕시 고천동 332-33 번지 성우벤처빌아파트형공장 B동 4층 1,전자부품 실장기판 제조업,031-429-9622,031-429-9623,4,배터리보호회로,
(주)아이스팩토리 제1공장,"경기도 의왕시 진터골길 6, 지하 1 (월암동)",경기도 의왕시 월암동 88번지 지하 1,아이스크림 및 기타 식용빙과류 제조업,031-345-7520,031-345-7521,7,아이스크,
(주)아이엔에스,"경기도 의왕시 경수대로 209, 월드비젼 B1 106호 (고천동)",경기도 의왕시 고천동 234-6번지,산업처리공정 제어장비 제조업,031-429-7206,031-429-7207,10,산업용컴퓨터,
(주)아일리스,"경기도 의왕시 한밭들1길 11, A동 4층 402호 (고천동, 성우아파트형공장)",경기도 의왕시 고천동 332-33번지 성우아파트형공장 A동 4층 402호,"기타 섬유, 의복 및 가죽 가공 기계 제조업",070-7011-4365,031-454-8898,4,"발열의류, 휴대용공기정화마스크","탄소섬유, 정전기 필터"
(주)아크로젠텍,경기도 의왕시 왕곡로 193 (왕곡동),경기도 의왕시 왕곡동 83-5번지,일반용 전기 조명장치 제조업 외 1 종,031-457-7602,031-457-7877,11,"LED모듈, LDE조명",
(주)알림시스템,"경기도 의왕시 오봉산단1로 12, 7층 5호(이동)",경기도 의왕시 이동 732 7층 5호,그 외 기타 전자부품 제조업 외 2 종,,,7,"마을방송장치, 지진계측장치, 철도신호통신장치 ","PCB, 전자부품, 반도체 칩"
(주)앰엔케이퍼,"경기도 의왕시 이미로 40, B동 B1층 B107-111호 (포일동)",경기도 의왕시 포일동 653번지 B동 B1층 B107-111호,그 외 기타 봉제의복 제조업,02-575-5233,02-464-1239,5,"가죽, 퍼",
(주)엄마,"경기도 의왕시 오봉산단3로 25, 408호, 409호(삼동)","경기도 의왕시 삼동 745 408호, 409호",기타 곡물 가공품 제조업,,031-443-1032,3,쌀눈쌀 현미 누룽지,현미쌀
(주)에버그린,경기도 의왕시 오봉산단1로 60 (이동),경기도 의왕시 이동 582번지,기타 직물제품 제조업 외 1 종,031-425-0596,031-425-0598,91,산업용 및 보건용 마스크,
(주)에스알,경기도 의왕시 오봉산단1로 50-8 (이동),경기도 의왕시 이동 586-1번지,철도차량 부품 및 관련 장치물 제조업 외 10 종,031-459-3995,031-459-3996,94,"철도신호용품, 리튬이차전지, 철도신호용품, 철도신호용품, 철도신호용품, 철도신호용품, 철도신호용품, 철도신호용품, 철도신호용품, 철도신호용품, 철도신호용품","케이블, 리튬, 납, 구리"
(주)에스에이피,"경기도 의왕시 경수대로391번길 19, 2층 1호 (오전동)",경기도 의왕시 오전동 124-4번지 2층 1호,기타 종이 상자 및 용기 제조업,031-427-9304,031-455-4482,5,"종이상자,화장품 부자재",
(주)에스엔엠지,"경기도 의왕시 이미로 40, C동 4층 406 (포일동)",경기도 의왕시 포일동 653번지 C동 4층 406,기타 무선 통신장비 제조업 외 2 종,,,2,"무선통신장비,무선통신모",
(주)에스엔케이 인터내쇼날,"경기도 의왕시 경수대로 339 (오전동, (주)S.N.K인터내쇼날) (총 3 필지)",경기도 의왕시 오전동 200-15번지,문구용 종이제품 제조업,031-459-5300,031-459-5306,35,쇼핑백,종이
(주)에스엔텍,"경기도 의왕시 한밭들2길 5(고천동, 코아에스엠티)",경기도 의왕시 고천동 332-47 코아에스엠티,전자부품 실장기판 제조업,031-453-0713,031-453-0715,41,전자부품 실장기판,"IC, PCB, 사출물"
(주)에스엔티시스템,"경기도 의왕시 오전공업길 13, 1동동 9층 901호(오전동, 벽산선영테크노피아)",경기도 의왕시 오전동 196-5 벽산선영테크노피아 1동동 9층 901호,컴퓨터 제조업,070-4633-3560,,7,산업용 컴퓨터,"CPU, 메모리 및 컴퓨터 주변기기"
(주)에스엠에스,"경기도 의왕시 이미로 40, B동 5층 508 (포일동)",경기도 의왕시 포일동 653번지 B동 5층 508,유선 통신장비 제조업 외 1 종,031-427-9927,031-457-9927,9,"전자잠금장치, 영상감시장치","전자부품, 회로기반(PCB) 등"
(주)에스테팜,"경기도 의왕시 오전공업길 19, 1111호, 1112호, 1101호(오전동, 대현테크노월드)","경기도 의왕시 오전동 174 대현테크노월드 1111호, 1112호, 1101호",의료용품 및 기타 의약 관련제품 제조업 외 1 종,031-360-3191,031-360-3192,18,조직수복용생체재료,히알루론산나트륨
(주)에스텍,"경기도 의왕시 오전공업길 13, 벽산선영테크노피아 지하 1층 117호 (오전동)",경기도 의왕시 오전동 196-5번지 벽산선영테크노피아 지하 1층 117호 ,반도체 제조용 기계 제조업,031-451-6033,031-451-6034,3,"자동화 기계, parts feeder, led 제조 장비","알루미늄, 스텐레스, 철"
(주)에스티엠,"경기도 의왕시 한밭들1길 11, 2층 204 (고천동, 성우아파트형공장)",경기도 의왕시 고천동 332-33번지 성우아파트형공장 2층 204,그 외 기타 전자부품 제조업 외 4 종,031-459-0405,031-459-0406,12,혈당분석기,
(주)에스티엠,"경기도 의왕시 오봉산단3로 25, 306호, 307호 (삼동)","경기도 의왕시 삼동 745 306호, 307호",그 외 기타 전자부품 제조업 외 6 종,031-459-0405,031-459-0406,5,"신호등, TFT-LCD모니터, 바닥형 보행신호등, 도로표지병, PCBASS'T, 공기질측정기","LED, PCB, 콘덴서 등, R.C칩 저항"
(주)에이디테크,"경기도 의왕시 경수대로 257, 6층 606 (고천동, 대영골든밸리)",경기도 의왕시 고천동 290-2번지,"전기회로 개폐, 보호장치 제조업 외 1 종",031-450-6815,031-450-6816,12,"전기회로개폐 자동제어기, 전기전자제어기","NFB, MC Cable"
(주)에이비 넥소,"경기도 의왕시 이미로 40, C동 8층 810~813 (포일동)",경기도 의왕시 포일동 653번지 C동 8층 810~813,"기타 측정, 시험, 항해, 제어 및 정밀기기 제조업 외 1 종",031-730-0144,031-730-0147,21,"발광플라즈마 초가속내후성 시험기, 옥외용 스마트 내후성 시험장치","철판, 램프, 모터, 전자부품, 냉각기 등"
(주)에이아이엠텍,"경기도 의왕시 경수대로 209, 2층 207호 (고천동, 의왕월드비젼)",경기도 의왕시 고천동 234-6번지 의왕월드비젼 2층 207호,그 외 기타 전자부품 제조업,031-451-5425,031-451-5426,21,수작업한 작업물(전자제품),
(주)에이엠솔루션즈,"경기도 의왕시 이미로 40, A동 3층 312 (포일동)",경기도 의왕시 포일동 653번지 A동 3층 312,기타 인쇄업 외 1 종,070-8811-0425,031-8084-3850,1,"3D 프린터, 피규어, 시제품","석고분말, ABS, PLA 필라멘트, Metal Powder"
(주)에이치앤아이,"경기도 의왕시 양지편2로 11, 201호 중 일부(청계동, 지엘빌딩)",경기도 의왕시 청계동 990-3 지엘빌딩 201호 중 일부,컴퓨터 제조업,031-425-0628,031-425-0629,36,GosLin_Edge,"CPU 모듈, 센서보드, I/O 보드, 하드케이스, 기타"
(주)에이콤,"경기도 의왕시 성고개로 53, A동 8층 824 (포일동)",경기도 의왕시 포일동 657-2번지 A동 8층 824,기타 전기 변환장치 제조업,031-425-8350,031-425-8352,3,전기차 충전기용 소켓,
(주)에이티케이즈,"경기도 의왕시 성고개로 53, A동 8층 825 (포일동)",경기도 의왕시 포일동 657-2번지 A동 8층 825,기타 무선 통신장비 제조업,031-477-8816,031-477-8817,4,방송통신 및 무선통신 시스,
(주)에이플러스,"경기도 의왕시 맑은내길 77-8(오전동, 에이플러스)",경기도 의왕시 오전동 143-1 에이플러스,플라스틱 접착처리 제품 제조업 외 1 종,031-452-0768,031-452-0769,41,화장품외관 코팅처리,플라스틱
(주)에이피텔레텍,"경기도 의왕시 이미로 40, A동 5층 511 (포일동)",경기도 의왕시 포일동 653번지 A동 5층 511,유선 통신장비 제조업,031-8084-3222,031-8084-3225,10,"중계기필터, 광피치코드, 광분배기함 외","광케이블, 튜브, 하우징, 페롤, 감쇠기 외"
(주)에프알텍,경기도 의왕시 오봉산단1로 30 (이동),경기도 의왕시 이동 731,기타 무선 통신장비 제조업,031-470-1515,031-422-9160,135,"중계기, LED조명",통신부품
(주)엔디디코아,"경기도 의왕시 한밭들1길 11, A동 2층 202-7 (고천동, 성우아파트형공장)",경기도 의왕시 고천동 332-33번지 성우아파트형공장 A동 2층 202-7,화장품 제조업,,,2,화장품 및 패치,원단
(주)엔에스텍,"경기도 의왕시 오봉산단1로 12, 9층 11호(이동)",경기도 의왕시 이동 732 9층 11호,"물질 검사, 측정 및 분석기구 제조업",,031-388-0824,1,"전기판넬, 자동화 관련 전기전자 부품, 제어관련 소프트웨어","전선, 전기부품, 제어모듈"
(주)엔에프,"경기도 의왕시 한밭들1길 11, 비동 204-1호(고천동, 성우벤처빌)",경기도 의왕시 고천동 332-33 성우벤처빌 비동 204-1호,방송장비 제조업 외 10 종,070-8871-8889,070-4275-0546,6,"영상감시장치, 보안용카메라, 안내전광판, 차량번호인식기","PCB Assy, IP모듈, RF리더기, CPU, 메인보드, 샤시 등"
(주)엘이디그린티,"경기도 의왕시 오전공업길 13, 7층 702 (오전동, 벽산선영테크노피아 A동)",경기도 의왕시 오전동 196-5번지 벽산선영테크노피아 A동 7층 702,일반용 전기 조명장치 제조업 외 3 종,031-427-6809,031-427-8418,5,"LED 전구, 램프","LED Chip, P.C.B"
