순번,단지명,회사명,지식산업센터명,공장대표주소(도로명),공장대표주소(지번),업종명,설립구분,종업원수,생산품,주원자재,공장크기,용지면적,건축면적,팩스번호
90,,아이티 컨트롤,프라임캐슬지식산업센터,경기도 시흥시 포도원로116번길 25 (신천동) 프라임지식산업센타 703호,경기도 시흥시 신천동 864-4 프라임지식산업센타 703호,배전반 및 전기 자동제어반 제조업 외 2 종,일반,3,"배전반, 전기자동 제조반","게기류, PLC",소기업,2884.3,298,070-4069-1031
91,시화국가산업단지,주하엠에프티,,"경기도 시흥시 마유로32번길 13, 3바 118 (정왕동)",경기도 시흥시 정왕동 2182-14번지 3바 118,그 외 자동차용 신품 부품 제조업,국가산업단지,6,"클립, 스프링",,소기업,0,330.57,070-4032-5104
92,시화국가산업단지,(주)그래핀올,,"경기도 시흥시 옥구천서로 127, 시화산단 1라 504호 (정왕동)",경기도 시흥시 정왕동 1249-4번지 시화산단 1라 504호,그 외 기타 분류 안된 화학제품 제조업 외 1 종,국가산업단지,2,산화그래핀 등,흑연,소기업,0,611.84,070-4032-4937
93,시화국가산업단지,제이엠텍놀러지(주),,"경기도 시흥시 군자천로185번길 35, 2다 601-1(정왕동, (주)현지산업)",경기도 시흥시 정왕동 1264-9 (주)현지산업 2다 601-1,배전반 및 전기 자동제어반 제조업 외 4 종,국가산업단지,17,"배전반, 배전반, 배전반, 측정기, 승강기 컨트롤 박스","철강, 철판류",소기업,0,1296,070-4032-4511
94,시화국가산업단지,지성하이테크,,"경기도 시흥시 마유로118번길 45, 3라 714호 (정왕동)",경기도 시흥시 정왕동 1376-13번지,기타 기계.장비 조립용 플라스틱 제품 제조업 외 1 종,국가산업단지,1,의료진단기 사출품,플라스틱,소기업,3372.4,1560.57,070-4032-2551
95,시화국가산업단지,(주)기호식품,트윈지식산업센터,"경기도 시흥시 정왕천로 155, (정왕동, (주)트윈시스템) 제에이동 1층 B102호",경기도 시흥시 정왕동 1286-1 (주)트윈시스템 제에이동 1층 B102호,기타 과실ㆍ채소 가공 및 저장 처리업,국가산업단지,12,"과일, 채소류 가공 및 제조, 가공식품 소분(건스파게티,건쌀국수,건당면)","과일, 채소,건면",소기업,0,694.21,070-4032-0403
96,시화국가산업단지,(주)유일테크,,"경기도 시흥시 경제로 195, 시화단지 2라 428호 (정왕동)",경기도 시흥시 정왕동 1362-12번지 시화단지 2라 428호,농업 및 임업용 기계 제조업,국가산업단지,9,선별기,"카메라, 렌즈, 이젝터, 후레임 ",소기업,0,674,070-4015-6000
97,시화국가산업단지,우진엠에프(주),,"경기도 시흥시 마유로118번길 97, 시화산단 3라 516호 (정왕동)",경기도 시흥시 정왕동 1384-14번지,절삭가공 및 유사처리업 외 1 종,국가산업단지,4,"의료기기부품, 자동화기계 부품","철강재, 스텐레스",소기업,0,175,070-4009-6869
98,시화국가산업단지,(유)제이아이에너지,,"경기도 시흥시 공단2대로 314, 3바 304호(정왕동)",경기도 시흥시 정왕동 2191-7 3바 304호,태양력 발전업,국가산업단지,1,전기,,소기업,0,1827,063-211-1179
99,시화국가산업단지,유한회사 스마트21,타원타크라6차,"경기도 시흥시 옥구천동로 218, (정왕동, 타원타크라 6차 지식산업센터) A동 8층 814호 외 1필지",경기도 시흥시 정왕동 1255-10 타원타크라 6차 지식산업센터 A동 8층 814호 외 1필지,비디오 및 기타 영상기기 제조업,국가산업단지,15,"DID, KIOSK, DIGITAL SIGNAGE, LED 전광판","디스플레이패널, SMPS, TV보드, AD보드, 기구물(함체)",소기업,110.69,242.18,062-529-7531
100,시화국가산업단지,주식회사 플렛디스,,"경기도 시흥시 마유로42번길 24, 시화공단 3바 110호(정왕동)",경기도 시흥시 정왕동 2182-6 시화공단 3바 110호,유선 통신장비 제조업,국가산업단지,6,"통신장비, 랙 케비넷 조립",stell 외,소기업,0,361,055-552-0959
101,시화멀티테크노밸리,쿠쿠전자(주),,"경기도 시흥시 엠티브이북로 349, 시화MTV 3사 1001호 (정왕동)",경기도 시흥시 정왕동 2672번지 시화MTV 3사 1001호,주방용 전기기기 제조업 외 2 종,국가산업단지,390,전기압력밥솥 및 반제품 ,압력밥솥부품 ,중견기업,0,2310,055-389-0709
102,시화멀티테크노밸리,쿠쿠홈시스(주),,"경기도 시흥시 엠티브이북로 349, 시화MTV 3사 1001호 (정왕동)",경기도 시흥시 정왕동 2672번지 시화MTV 3사 1001호,액체 여과기 제조업 외 4 종,국가산업단지,240,정수기,,중기업,16389,26317.11,055-389-0709
103,시화국가산업단지,(주)프렘투,,"경기도 시흥시 공단1대로132번길 47, 2다 710-4(정왕동)",경기도 시흥시 정왕동 1257-17 2다 710-4,도금업 외 1 종,국가산업단지,5,"도금반제품, 축전기 등","황산철7수화물, 물, Ni",소기업,0,1500,054-279-2830
104,시화국가산업단지,(주)씨엠에이글로벌,타원타크라6차,"경기도 시흥시 옥구천동로 218, (정왕동, 타원타크라 6차 지식산업센터) A동 1층 107호",경기도 시흥시 정왕동 1255-10 타원타크라 6차 지식산업센터 A동 1층 107호,반도체 제조용 기계 제조업 외 1 종,국가산업단지,4,반도체 제조용 기계 제조업,반도체 제조용 기계 제조업,소기업,108.01,101.277,053-984-0339
105,시화국가산업단지,주식회사 탑드릴엔지니어링,,"경기도 시흥시 정왕천로 143, 110동호(정왕동, 타원산업단지)",경기도 시흥시 정왕동 1286-12 타원산업단지 110동호,건설 및 채광용 기계장비 제조업,국가산업단지,2,"함마, 비트",철강,소기업,1157.03,404.35,051-980-0352
106,시화국가산업단지,한국자산관리공사,,"경기도 시흥시 공단3대로 263, 3바 909 (정왕동)",경기도 시흥시 정왕동 2205-9번지 3바 909,비주거용 건물 임대업,국가산업단지,1,공장임대,,소기업,3299.1,120,051-794-3999
107,시화국가산업단지,(주)한샘,,"경기도 시흥시 오이도로 22-11, 2208 1다 901호 (정왕동)",경기도 시흥시 정왕동 2208번지,물류 터미널 운영업,국가산업단지,100,물류터미널 운영,,중기업,60663.8,14625.42,050-7775-5127
108,시흥매화일반산업단지,성도엔지니어링,리드스마트스퀘어,"경기도 시흥시 매화산단3길 1, 203호(매화동) 203호 외 2필지",경기도 시흥시 매화동 846 203호 203호 외 2필지,배전반 및 전기 자동제어반 제조업,일반산업단지,1,"수배전반, 발전기반, MCC 외","큐비클, 차단기, 전선, 코일 외",소기업,118.41,577.26,0507-517-3322
109,,주식회사 네오트래픽,상경타워,"경기도 시흥시 은계중앙로306번길 25, 204호(대야동, 상경타워)",경기도 시흥시 대야동 660-5 상경타워 204호,컴퓨터 제조업 외 7 종,일반,12,"보행자감지기, 컴퓨터키오스크 등","카메라, 렌즈, 제어컴퓨터, 검지기, 전원장치 등",소기업,167.39,167.39,050-6616-6420
110,시흥매화일반산업단지,지앤에프,,"경기도 시흥시 매화산단1길 6, 2층(도창동, 에이스조명)",경기도 시흥시 도창동 518-8 에이스조명 2층,도장 및 기타 피막처리업,일반산업단지,4,자동차부품 등,페인트,소기업,0,270,0505-935-6047
111,시화국가산업단지,(주)알티시스템,,"경기도 시흥시 공단1대로379번안길 47, 1294-1, 4나 302호 (정왕동)","경기도 시흥시 정왕동 1294-1번지 1294-1, 4나 302호","물질 검사, 측정 및 분석기구 제조업",국가산업단지,2,측정시스템,"산업용PC, 측정BOARD, 컨트롤러",소기업,0,80,0505-852-5656
112,시화멀티테크노밸리,(주)세안아이앤티,,"경기도 시흥시 엠티브이25로58번길 12, 3사 209호 (정왕동)",경기도 시흥시 정왕동 3-209번지 3사 209호,배전반 및 전기 자동제어반 제조업 외 1 종,국가산업단지,5,배전반,,소기업,0,190,050-5822-0020
113,시화국가산업단지,(주)세안아이앤티 시화공단지점,길산에스에스티 지식산업센터,"경기도 시흥시 경기과기대로 219,  (정왕동) 1동 7층 705호",경기도 시흥시 정왕동 1277-14 1동 7층 705호,배전반 및 전기 자동제어반 제조업,국가산업단지,3,배전반,,소기업,70.504,132.54,050-5822-0020
114,시화멀티테크노밸리,(주)세안이엔지,,"경기도 시흥시 엠티브이25로58번길 12, 시화MTV단지 3사 209호 (정왕동)",경기도 시흥시 정왕동 3-209번지 시화MTV단지 3사 209호,배전반 및 전기 자동제어반 제조업 외 1 종,국가산업단지,13,배전반 및 자동제어반,,소기업,3300,1360.59,050-5822-0020
115,시화국가산업단지,알파레이저,,"경기도 시흥시 군자천로21번길 13, 2바 513 (정왕동)",경기도 시흥시 정왕동 2178-3번지 2바 513,그 외 기타 1차 철강 제조업 외 4 종,국가산업단지,15,"레이져기공, 놀이터용 벤치","금속, 원목, 철재",소기업,1655.4,1424.29,0505-541-3000
116,시화국가산업단지,(주)오로라테크놀로지,,"경기도 시흥시 산기대학로 80, 1나 502호 (정왕동)",경기도 시흥시 정왕동 1254-10번지 1나 502호,그 외 기타 전기장비 제조업,국가산업단지,1,전기장비 제조업,"PCB, 전자부품",소기업,0,165,0505-420-0001
117,시화국가산업단지,디티엑스,동우디지털파크,"경기도 시흥시 정왕천로 197,?(정왕동, 동우디지털파크) A동 5층 512호 외 1필지",경기도 시흥시 정왕동 1288-2 동우디지털파크 A동 5층 512호 외 1필지,"물질 검사, 측정 및 분석기구 제조업 외 2 종",국가산업단지,4,"산업용건조기, 펄스UN경화기, 광분석시스템",판금 외,소기업,103.92,297.78,050-5419-6226
118,,주식회사 알티넷,,경기도 시흥시 포도원로116번길 25 (신천동) 프라임지식산업센타 608호,경기도 시흥시 신천동 864-4 프라임지식산업센타 608호,방송장비 제조업 외 4 종,일반,3,"CCTV, 무선송수신기","카메라 렌즈, 컨트롤보드 등",소기업,0,202.865,0505-413-4133
119,시화국가산업단지,찬코퍼레이션,삼양스마트테크노파크 지식산업센터,"경기도 시흥시 공단1대로 13, (정왕동, 삼양 스마트 테크노파크) 1동 8층 810호",경기도 시흥시 정왕동 1234-12 삼양 스마트 테크노파크 1동 8층 810호,그 외 기타 의료용 기기 제조업,국가산업단지,1,의료기기 기계부품,,소기업,0,69.66,050-5404-6703
120,,이월드(주),,"경기도 시흥시 안골길 11-2, 1층 (계수동)",경기도 시흥시 계수동 212-2번지 1층,절연 코드세트 및 기타 도체 제조업,일반,5,멀트코드,"전선, 단자, 플라스틱사출",소기업,0,310,050-5368-9000
121,시화국가산업단지,유진정밀,,"경기도 시흥시 마유로118번길 78, 3라621 (정왕동)",경기도 시흥시 정왕동 1378-3번지 3라621,주형 및 금형 제조업,국가산업단지,3,"전자부품, 금형",,소기업,0,99.17,050-5330-5670
122,시화멀티테크노밸리,유진정밀,,"경기도 시흥시 엠티브이26로19번길 13, 벤처기업집적시설 29동 (정왕동)",경기도 시흥시 정왕동 2654번지 벤처기업집적시설 29동,주형 및 금형 제조업,국가산업단지,1,금형 가공,철판,소기업,477.409,191.11,050-5319-5449
123,시화국가산업단지,(주)피티엠,,"경기도 시흥시 공단1대로379번안길 47, 1294-1, 4나 302호 (정왕동)","경기도 시흥시 정왕동 1294-1번지 1294-1, 4나 302호","물질 검사, 측정 및 분석기구 제조업",국가산업단지,12,자동화 기기,철,소기업,1753.25,1340.56,0505-300-9698
124,시화국가산업단지,(주)신광에프에이,삼양스마트테크노파크 지식산업센터,"경기도 시흥시 공단1대로 13, (정왕동, 삼양 스마트 테크노파크) 1동 7층 715호",경기도 시흥시 정왕동 1234-12 삼양 스마트 테크노파크 1동 7층 715호,비주거용 건물 임대업,국가산업단지,1,"반도체장비, 자동화기기",,소기업,69.388,0,050-5300-4770
125,시화국가산업단지,(주)신광에프에이,,"경기도 시흥시 공단1대로 144, 시화단지 2다 202호 109 (정왕동)",경기도 시흥시 정왕동 1258-1번지 시화단지 2다 202호 109동,반도체 제조용 기계 제조업,국가산업단지,5,반도체 자동화 장비,"알루미늄, 스틸",소기업,605.11,598.24,0505-300-4770
126,시화국가산업단지,(주)툴하우스,,"경기도 시흥시 군자천로185번길 28, 2다306호 (정왕동)",경기도 시흥시 정왕동 1263-5번지 2다306호,톱 및 호환성 공구 제조업,국가산업단지,10,절삭공구 ,,소기업,0,297.5,050-5299-2309
127,시화국가산업단지,리바이프로덕트(주),,"경기도 시흥시 정왕천로 155, 1286-1 3라402 (정왕동)",경기도 시흥시 정왕동 1286-1번지,과자류 및 코코아 제품 제조업 외 1 종,국가산업단지,10,과자류 및 코코아 제품 제조업 외 1건,과자류 등,소기업,0,1980,050-515-1990
128,시화국가산업단지,주식회사 에스피씨 삼립,,"경기도 시흥시 공단1대로 101,  1253-5번지 1나 606,607,608호 (정왕동)","경기도 시흥시 정왕동 1253-5번지 1253-5번지 1나 606,607,608호",빵류 제조업 외 6 종,국가산업단지,1128,빵,"밀가루, 과당등",대기업,48187.7,69519.28,050-5073-0525
129,시화국가산업단지,엠에스텍,타원타크라6차,"경기도 시흥시 옥구천동로 218, (정왕동, 타원타크라 6차 지식산업센터) B동 2층 207호",경기도 시흥시 정왕동 1255-10 타원타크라 6차 지식산업센터 B동 2층 207호,그 외 기타 전자부품 제조업,국가산업단지,1,주차차단기 전자부품 조립,"아크릴, 스틸, 알루미늄 등",소기업,57.24,178.92,0505-070-7069
130,시화국가산업단지,(주)씨엔에스시스템,,"경기도 시흥시 옥구천동로 72-7, 2169-17번지, 2마 814-1 (정왕동)","경기도 시흥시 정왕동 2169-17번지 2169-17번지, 2마 814-1",응용 소프트웨어 개발 및 공급업,국가산업단지,5,소프트웨어 개발,,소기업,0,66,050-5055-5533
131,시화국가산업단지,에이치엠에스,,"경기도 시흥시 옥구천서로237번길 40, 시화단지 1나 407호 (정왕동)",경기도 시흥시 정왕동 1243-8번지 시화단지 1나 407호,주형 및 금형 제조업,국가산업단지,1,자동화기계,"알루미늄, 철",소기업,0,132,0505-055-3676
132,시화국가산업단지,그린비스,삼양스마트테크노파크 지식산업센터,"경기도 시흥시 공단1대로 13, (정왕동, 삼양 스마트 테크노파크) 1동 5층 523호",경기도 시흥시 정왕동 1234-12 삼양 스마트 테크노파크 1동 5층 523호,액체 여과기 제조업,국가산업단지,2,수질정화장치  ,,소기업,37.771,124.7,050-5055-2499
133,시화국가산업단지,라미스타,타원타크라6차,"경기도 시흥시 옥구천동로 218, (정왕동, 타원타크라 6차 지식산업센터) B동 5층 512호",경기도 시흥시 정왕동 1255-10 타원타크라 6차 지식산업센터 B동 5층 512호,그 외 기타 일반목적용 기계 제조업,국가산업단지,1,"합지기, 코팅기, 와인더기","금속가공물, 고무롤러, 모터 외",소기업,57.24,178.92,0505-0095-226
134,시화국가산업단지,(주)우리은행,,"경기도 시흥시 희망공원로 269 (정왕동, 홈플러스시화점)",경기도 시흥시 정왕동 2166-4번지 홈플러스시화점,비주거용 건물 임대업,국가산업단지,1,임대,,소기업,27087.1,36257.23,050-5002-3195
