회사명,최초등록일,종업원수,생산품정보,공장소재지주소,업종번호정보,업종명,전화번호
주식회사 이지테크,2018-10-26,44,"CONTRLLER, UV FILTER, 실내환경측정장치 (미세먼지측정기), 안전운행정보수집장치","경기도 광명시 소하동 1345번지 광명테크노파크 A동 5층 501,502,503,504 A동 5층 501,502,503,504호",26224,전자부품 실장기판 제조업 외 3 종,02-2060-2431
주식회사 인성,2015-02-02,10,셔터전동기,경기도 광명시 광명동 572-38번지,28123,배전반 및 전기 자동제어반 제조업,02-2625-6995
주식회사 자온,2025-07-10,3,"음성인식 비상벨, 재난예방 비상경보기, 방송수신기, 음성인식 비상벨, 재난예방 비상경보기, 방송수신기, 통합관제프로그램, 영상감시장치, 방송수신기",경기도 광명시 일직동 501-4 8층 815호 8층 815호,28901,전기경보 및 신호장치 제조업 외 2 종,070-4145-1777
주식회사 재운노즐,2022-06-27,4,공업용 노즐,경기도 광명시 소하동 1345 광명테크노파크 D동 지하108호 D동 지하108호,29133,"탭, 밸브 및 유사장치 제조업",02-2615-8867
주식회사 정수테크코리아,2024-03-01,4,"산업용 필터, 여과기 필터",경기도 광명시 일직동 501-4 5층 503호 5층 503호,29176,액체 여과기 제조업 외 1 종,02-2066-4960
주식회사 정운시스템,2023-05-17,4,계측제어기기,경기도 광명시 하안동 303 1528호 1528호 외 1필지,27215,기기용 자동측정 및 제어장치 제조업,02-2066-8611
주식회사 주도코리아,2021-06-29,3,수처리 여과장치,경기도 광명시 소하동 1345 광명테크노파크 A동 13층 1310호,29176,액체 여과기 제조업,02-2083-1477
주식회사 지벡파마,2005-04-15,3,홍삼기타식품,경기도 광명시 광명동 754-1번지,10895,인삼식품 제조업,02-2612-0467
주식회사 차로보틱스,2024-06-03,3,산업용 로봇 부품,경기도 광명시 하안동 304 1501호,29280,산업용 로봇 제조업,
주식회사 청남아이티,2011-06-01,4,LED 조명,경기도 광명시 소하동 1345 번지 광명테크노파크 이동 11층 1106호,28422,일반용 전기 조명장치 제조업,02-2083-1961
주식회사 커스템,2025-04-28,4,텔레비전,경기도 광명시 일직동 514 B2층 258호 B2층 258호,26511,텔레비전 제조업,ARS-1566-5722
주식회사 컴피그,2024-07-05,1,개인용 컴퓨터,경기도 광명시 소하동 1344 광명G타워 B동 607호 B동 607호,26310,컴퓨터 제조업,02-899-9112
주식회사 코르테크,2022-08-19,7,산업처리공정 제어장치,경기도 광명시 소하동 1344 광명G타워 428호 428호,27216,산업처리공정 제어장비 제조업 외 5 종,02-6205-4600
주식회사 크린워터시스템,2024-03-26,2,산업용 정수기,경기도 광명시 일직동 514 비동 25층 2507호,29176,액체 여과기 제조업,
주식회사 태성사,1997-03-21,16,펌프및그라우팅자재,경기도 광명시 노온사동 761-4번지,29241,건설 및 채광용 기계장비 제조업 외 1 종,02-2671-2600
주식회사 태원시스템,2025-07-31,6,"POE스플리터, POE스플리터",경기도 광명시 소하동 1339 골든프라자 702호,26429,기타 무선 통신장비 제조업 외 1 종,02-897-7150
주식회사 테솔로,2025-03-11,3,로봇팔,경기도 광명시 일직동 514 A동 26층 2611호,29280,산업용 로봇 제조업,02-6914-6620
주식회사 토로이드전자,2011-11-02,3,"LED 조명, 전자부품",경기도 광명시 소하동 1345 번지 광명테크노파크 디동 1층 103호,28422,일반용 전기 조명장치 제조업,02-2083-2670
주식회사 티엠씨이노베이션,2024-11-26,3,반도체장비 부품,경기도 광명시 소하동 1344 광명G타워 B동 709호 B동 709호,27216,산업처리공정 제어장비 제조업,02-899-0357
주식회사 파인아이디,2012-12-05,3,옥외광고물,경기도 광명시 옥길동 418-18번지,33910,간판 및 광고물 제조업,070-8264-6761
주식회사 펠코리아,2014-12-29,7,"원격전원제어장치, 환경감시장치, 전원분배장치, 배터리방전시험기, 이중화전원절환장치",경기도 광명시 소하동 1345번지 광명테크노파크 E동 12층 1211,26410,유선 통신장비 제조업 외 5 종,02-6112-3730
주식회사 포스트알,2025-03-27,1,셋톱박스,경기도 광명시 일직동 501-4 11층 1120호 11층 1120호,26410,유선 통신장비 제조업 외 3 종,02-6291-5050
주식회사 포인트그램,2011-10-07,4,방송통신장비,경기도 광명시 소하동 1345번지,26429,기타 무선 통신장비 제조업 외 2 종,02-6112-3131
주식회사 플레코,2023-04-13,2,"인버터, 전력시험기, 자동차 전자식모의운전장치",경기도 광명시 소하동 1344 광명G타워 523호 523호 외 1필지,28119,기타 전기 변환장치 제조업 외 2 종,
주식회사 플리닉랩스,2025-08-26,2,가정용 미용기기,경기도 광명시 일직동 514 C동 14층 1404호,28519,기타 가정용 전기기기 제조업,02-2038-4876
주식회사 한국울트라산업,2012-06-04,14,"창문용폐쇄장치, 배연창기기, 제어반 등",경기도 광명시 하안동 201번지 광명시범공단 아파트형공장 3동 1층 4호,25932,일반철물 제조업 외 1 종,02-897-9403
주식회사 한국유체시스템,2025-02-13,3,액체펌프,경기도 광명시 노온사동 739,29131,액체 펌프 제조업,070-5117-8497
주식회사 한국표준엔지니어링,2011-02-25,4,공기조화장치 제어반,경기도 광명시 소하동 1345 번지 광명테크노파크 디동 7층 713호,29172,가정용 및 산업용 공기 조화장치 제조업 외 1 종,02-2083-2555
주식회사 한성이엔지,2022-07-22,6,자동제어반,경기도 광명시 일직동 515-1 A동 19층 1910호,28123,배전반 및 전기 자동제어반 제조업,02-6299-7199
주식회사 해솔이에프씨,2022-05-17,8,"영상감시장치, 보안용카메라, 통합배선반",경기도 광명시 일직동 514 C동 1712호 C동 1712호,26410,유선 통신장비 제조업 외 1 종,02-6914-5712
주식회사 혜안,2011-11-17,6,"제어기기, 신분증",경기도 광명시 소하동 1345 번지 광명테크노파크 이동 9층 이910호,28123,배전반 및 전기 자동제어반 제조업 외 1 종,02-3286-2400
주식회사 호스크,2025-11-11,1,세탁세제,경기도 광명시 일직동 514 A동 18층 1801호,20422,"치약, 비누 및 기타 세제 제조업",070-4196-0484
주식회사 호영엔지니어링,2013-07-01,6,컨트롤판넬,경기도 광명시 소하동 1345번지 광명테크노파크 B동 3층 303호,29172,가정용 및 산업용 공기 조화장치 제조업 외 1 종,02-783-4005
주식회사 효성앤송성,2023-10-18,8,"전자부품(커넥터, 클램프)",경기도 광명시 하안동 303 13층 1326호 13층 1326호,26299,그 외 기타 전자부품 제조업,02-891-0940
주식회사등대씨엔씨,2024-10-28,4,태블릿충전보관함,경기도 광명시 일직동 514 A동 22층 2202호,28119,기타 전기 변환장치 제조업,02-761-8977
주식회사모빌텍,1999-10-21,3,전자기기.감지센서(pcs기지국),경기도 광명시 하안동 201번지,26299,그 외 기타 전자부품 제조업 외 1 종,02-894-7555
주식회사세경이엔지,2019-10-17,6,"26410, 멀티브로드캐스팅 터미널, 이동형기지국",경기도 광명시 일직동 505-7 상상빌 1동,26410,유선 통신장비 제조업 외 1 종,02-522-2328
주언테크 주식회사,2024-01-11,6,일반용음식물쓰레기처리기,경기도 광명시 노온사동 376-20,29299,그 외 기타 특수목적용 기계 제조업 외 1 종,ARS-1666-3639
준 학생복(F.S ISLAND),2024-03-13,3,"학생복, 체육복",경기도 광명시 광명동 743-1 풍은빌딩 3층,14192,"근무복, 작업복 및 유사의복 제조업",02-2682-0180
중원A.C.T전자,2011-03-31,10,하네스,경기도 광명시 소하동 1345 번지 광명테크노파크 이동 4층 409호,28303,절연 코드세트 및 기타 도체 제조업,02-2083-1780
지석테크,2018-08-07,2,전기자동차 배터리 부품,경기도 광명시 노온사동 770-5번지,29223,금속 절삭기계 제조업,
지티인코스,2011-08-02,5,화장품,경기도 광명시 소하동 1345 광명테크노파크 D동 301호 D동 301호,20423,화장품 제조업,02-2083-1811
지혜피앤티,2019-07-23,5,"기록용지, 영수증",경기도 광명시 가학동 781-11번지,18111,경 인쇄업 외 3 종,02-2681-8828
진경섬유,2003-05-12,4,"양말,스타킹",경기도 광명시 광명동 5-41번지,14411,스타킹 및 기타 양말 제조업,02-2687-7517
진경실업,2001-08-23,8,"텐트,베낭",경기도 광명시 광명동 374-180번지,13224,"천막, 텐트 및 유사 제품 제조업 외 2 종",02-2689-3916
진교역,2014-07-30,8,"매니큐어세트, 지갑","경기도 광명시 광명동 158-889번지 지하1층, 2층",15129,가방 및 기타 보호용 케이스 제조업,02-2683-8759
진성정밀,1990-12-06,8,카오디오부품,경기도 광명시 소하동 31-15번지,26519,비디오 및 기타 영상기기 제조업 외 3 종,02-804-5131
진아산업,2009-08-06,8,하네스가공,경기도 광명시 소하동 31-15번지,28302,기타 절연선 및 케이블 제조업,02-809-2290
진우화스나,2003-06-02,6,지퍼류,경기도 광명시 옥길동 418-21번지,33991,단추 및 유사 파스너 제조업,02-2681-1677
진주장갑,2004-08-22,10,면장갑,경기도 광명시 소하동 201-1번지,14499,그 외 기타 의복액세서리 제조업,02-898-7676
진흥엘앤에스(주),2015-12-22,12,전기조명장치외 6종,경기도 광명시 소하동 1345번지 광명테크노파크 E동 8층 802,28422,일반용 전기 조명장치 제조업 외 7 종,02-2676-7580
참두원플러스,2014-12-11,5,"전두부, 전두부생산기계",경기도 광명시 소하동 1345번지 광명테크노파크 A동 14층 1407,10894,두부 및 유사식품 제조업 외 1 종,02-2083-1877
참숯협동조합발해,2016-12-08,2,"가스용품, 숯불지피기",경기도 광명시 하안동 201번지 아파트형공장 제1동 4동 3층 3-1,25999,그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,02-2611-1754
천성채널산업,2012-07-16,3,"간판, 광고물",경기도 광명시 옥길동 88-2번지,33910,간판 및 광고물 제조업,02-2611-1643
천하다이아몬드,1995-12-16,18,다이아공구,경기도 광명시 가학동 781-3번지,25934,톱 및 호환성 공구 제조업,02-2689-8228
청우전자,2024-10-30,20,Connector,경기도 광명시 소하동 1345 광명테크노파크 D동 14층 1410호,28122,전기회로 접속장치 제조업,02-2613-5779
캠존,2007-07-02,11,폐쇄회로카메라,경기도 광명시 소하동 1074-5번지 (지하),26421,방송장비 제조업 외 2 종,02-897-0438
컨버테크,2002-11-07,2,자동차전원장치,경기도 광명시 철산1동 626-3번지 광명조명타운703호,30399,그 외 자동차용 신품 부품 제조업 외 3 종,02-2688-0618
컨버테크(주),2020-12-24,6,전원공급장치,경기도 광명시 소하동 1345 광명테크노파크 D동 810호,28119,기타 전기 변환장치 제조업 외 1 종,02-859-2624
컬러앤케어 주식회사,2024-03-01,2,메인 밸브 조절기,경기도 광명시 일직동 514 B동 8층 801호,29133,"탭, 밸브 및 유사장치 제조업",02-6925-3374
케이이엔씨,2012-05-17,2,환경계측기,경기도 광명시 소하동 1365번지 8층 806 외 1필지,27213,"물질 검사, 측정 및 분석기구 제조업 외 1 종",02-2681-9731
코리아에어필터(주),2016-02-11,5,"에어필터, 여과기",경기도 광명시 하안동 201번지 아파트형공장 제1동 1동 2층 4,29175,기체 여과기 제조업,070-4632-3710
코리아전기조명,2012-12-05,4,산업용작업등,경기도 광명시 소하동 1365번지,28422,일반용 전기 조명장치 제조업,02-896-9959
코스모스 생명공학(주),2009-04-20,4,의료기,경기도 광명시 노온사동 778-10번지,27199,그 외 기타 의료용 기기 제조업,02-2613-3412
코앤알 주식회사,2025-10-17,1,"IP카메라 (CCTV), NVR / DVR",경기도 광명시 하안동 304 6층 616호 6층 616호,26421,방송장비 제조업 외 1 종,
쿰펠라이프(주),2010-05-28,4,인덕션 레인지,경기도 광명시 소하동 1240-2번지 5층,28511,주방용 전기기기 제조업,02-897-0370
쿰펠텔레콤(주),2005-11-08,18,통신부품,"경기도 광명시 소하2동 1240-2번지 한성빌딩 3층,4층",26429,기타 무선 통신장비 제조업 외 2 종,02-899-0662
크린스화장품,2015-10-29,21,화장품,경기도 광명시 노온사동 572-16번지 크린스화장품,20423,화장품 제조업,02-2613-2933
탑클라스,2024-02-22,1,학생복,경기도 광명시 하안동 304 512호,14192,"근무복, 작업복 및 유사의복 제조업",
태광전자,2001-08-14,3,전기커넥터,경기도 광명시 광명동 63-24번지,28121,"전기회로 개폐, 보호장치 제조업 외 1 종",02-2688-8360
태백전기주식회사,2005-01-18,7,"반도체장비, 제어반",경기도 광명시 철산동 626-3번지,28123,배전반 및 전기 자동제어반 제조업,02-2684-3040
태서리사이클링(주),2002-12-02,53,폐종이수거분쇄및압축,경기도 광명시 소하2동 272번지,38321,비금속류 해체 및 선별업 외 1 종,02-802-6161
태양종합시스템,1999-01-29,4,"간판,후렝,현수막,led등기구",경기도 광명시 광명6동 374-181번지,28422,일반용 전기 조명장치 제조업 외 4 종,02-2619-4897
태양피브이시,2017-03-03,2,"pvc팬, 덕트",경기도 광명시 광명동 575-10번지,22229,기타 건축용 플라스틱 조립제품 제조업,02-2613-7359
태원양행,2009-10-19,2,스위치,경기도 광명시 하안동 36-1번지 제일빌딩 602,26299,그 외 기타 전자부품 제조업 외 1 종,02-892-4800
태일산업,2003-04-23,1,"모자, 양말, 장갑, 가방, 목도리, 의복등",경기도 광명시 하안1동 445번지 1층,14411,스타킹 및 기타 양말 제조업 외 9 종,02-899-1864
태일전자,2010-09-09,15,전자부품 메인 보드,경기도 광명시 하안동 201번지,26224,전자부품 실장기판 제조업,02-802-0423
태현어패럴,1999-12-10,10,아동의류,경기도 광명시 광명동 374-46번지,14194,유아용 의복 제조업,02-2688-4572
트라이머스(주),2012-05-02,2,LED 조명기구,경기도 광명시 소하동 1345번지 광명테크노파크 D동 10층 1005,28423,전시 및 광고용 조명장치 제조업,02-2083-2295
트루비온주식회사,2011-10-27,14,전자집적회로,"경기도 광명시 소하동 1345 번지 광명테크노파크 디동 9층 905, 906호",26111,메모리용 전자집적회로 제조업 외 1 종,070-8611-8830
트윈텍스타일,2020-05-29,19,의류,경기도 광명시 일직동 515-1 B동 1101호 B동 1101호 외 4필지,14191,셔츠 및 블라우스 제조업 외 2 종,02-809-4396
티유,2014-02-17,4,"엔진브로어, 예초기, 산업용 냉장 및 냉동장비",경기도 광명시 가학동 786-3번지,29210,농업 및 임업용 기계 제조업 외 5 종,070-8610-7514
티제이티(주),2012-12-05,7,자동소화기,경기도 광명시 광명동 580번지,29192,분사기 및 소화기 제조업,02-6406-0086
파워렉스(주),2002-10-24,80,컴퓨터전원공급장치,경기도 광명시 철산동 626-3번지,28119,기타 전기 변환장치 제조업 외 1 종,02-2682-9779
파이어키퍼,2020-07-15,2,"방폭형발신기, 경종, 비상콘센트, 시각경보기, 표시등, 방폭형감지기",경기도 광명시 노온사동 212-35,28901,전기경보 및 신호장치 제조업,02-2066-1262
파인기획,2016-07-08,2,광고물,경기도 광명시 옥길동 418-18번지,33910,간판 및 광고물 제조업,02-2682-9341
평화상사,2003-07-30,3,전자부품잭,경기도 광명시 광명동 159-85번지,28121,"전기회로 개폐, 보호장치 제조업 외 1 종",02-2613-2272
포인트임플란트 주식회사,2022-10-26,9,치과용 레이저장비,경기도 광명시 일직동 514 C동 718호 C동 718호 외 1필지,27199,그 외 기타 의료용 기기 제조업,070-7475-0658
표준시스템,2012-08-31,13,하네스장비,경기도 광명시 소하동 1365번지,28123,배전반 및 전기 자동제어반 제조업,02-838-2224
프라미스,2016-04-22,2,"배기가스시험장비, 땅콩탈피기","경기도 광명시 소하동 1345번지 광명테크노파크 C동 4층 401,402호",27215,기기용 자동측정 및 제어장치 제조업 외 1 종,02-2083-2263
플러스테크,2021-03-15,3,"중앙감시반, 차량번호인식기, 차단기",경기도 광명시 소하동 1345 광명테크노파크 A동 905호,28903,교통 신호장치 제조업,02-3667-1861
하나농산,2016-04-01,3,고춧가루,경기도 광명시 가학동 911-4번지,10839,기타 식품 첨가물 제조업,02-2688-5875
하나비젼,2020-09-16,1,VR AR 온라인 프레젠테이션 솔루션,경기도 광명시 일직동 515-1 B-514,26519,비디오 및 기타 영상기기 제조업 외 6 종,02-6332-3395
하이후렉스,2011-06-20,8,FLEX CONVEYOR,경기도 광명시 소하동 1345 번지 광명테크노파크 디동 2층 디204호,29163,컨베이어장치 제조업 외 1 종,02-2083-2662
하프트인(주),2024-02-20,8,"통신용 중계기, 터널지하재방송장치",경기도 광명시 소하동 1365 에이스 광명타워 521호 521호,26421,방송장비 제조업 외 3 종,02-6112-7384
한국리스텍(주),2012-02-15,3,온풍기,경기도 광명시 소하동 1345번지 광명테크노파크 C동 12층 1205,29172,가정용 및 산업용 공기 조화장치 제조업 외 1 종,070-7450-8805
한국선크스전자(주),1998-09-02,14,빔센서,경기도 광명시 하안동 201번지,27216,산업처리공정 제어장비 제조업,02-892-3427
한국울트라 주식회사,2016-10-11,6,배연창모터 및 자동폐쇄장치,경기도 광명시 하안동 201-2번지 아파트형공장 제1동 3동 1층 3,25932,일반철물 제조업,02-897-9403
한국철마산업,2009-05-13,2,"간판, 현수막",경기도 광명시 하안동 36-4번지 성보프라자 503호,33910,간판 및 광고물 제조업,02-804-5458
한국환경자원기술(주),2020-09-08,7,전신소독방역기 및 소독방역기,경기도 광명시 소하동 1345 광명테크노파크 D동 103호,29192,분사기 및 소화기 제조업 외 2 종,02-6112-3555
한국활성탄섬유공업(주),2007-12-03,6,"필터, 정수기",경기도 광명시 하안동 201번지,29176,액체 여과기 제조업,02-2615-0693
한길산업,2012-01-19,3,"전동기, 발전기",경기도 광명시 광명동 575-20번지,28123,배전반 및 전기 자동제어반 제조업 외 1 종,02-895-9825
한담테크,2002-04-01,10,PC 카메라,경기도 광명시 하안동 201번지,26421,방송장비 제조업 외 2 종,02-892-5697
한도철망기업,2009-09-09,6,콘베어메쉬벨트,경기도 광명시 노온사동 796번지,25944,금속선 가공제품 제조업,02-2689-0950
한산시피에스(주),2012-06-22,15,판넬,"경기도 광명시 소하동 1345번지 광명테크노파크 B동 8층 809,810 B동 8층 809,810호",28123,배전반 및 전기 자동제어반 제조업,02-408-9559
한샘엔지니어링,1998-11-23,4,SWITCH<-S(전자부품),경기도 광명시 하안동 201-0번지,26121,발광 다이오드 제조업 외 1 종,02-896-8100
한서 주식회사,2011-12-16,4,"수도계량기, 적산열량계",경기도 광명시 소하동 1345번지 광명테크노파크 E동 10층 1001~1003 E동 10층 1001~1003호,27214,속도계 및 적산계기 제조업,02-2083-1436
한양광고,2018-08-08,4,"간판, 광고물",경기도 광명시 광명동 159-106번지 3층,33910,간판 및 광고물 제조업 외 1 종,02-2683-7081
한양테크,2018-06-18,8,"환풍기, 포충기, 전기스토브",경기도 광명시 노온사동 878번지 나비야놀자박물관 1층,28519,기타 가정용 전기기기 제조업 외 4 종,02-2612-2061
한창전기부품,1995-03-14,3,전원코드가공,경기도 광명시 하안동 201 번지 광명아파트형공장 4동 4층 4-1호,28123,배전반 및 전기 자동제어반 제조업,02-802-7134
해룡광고산업,2012-06-15,3,인쇄물,경기도 광명시 하안동 201번지 1동 1층 3호,18119,기타 인쇄업 외 1 종,02-899-4353
해리산업(주),2021-05-27,5,덕트,경기도 광명시 노온사동 252-4,24199,그 외 기타 1차 철강 제조업,02-2611-6893
향비조,2022-01-17,2,"화장비누, 화장품",경기도 광명시 소하동 947-2 2층,20422,"치약, 비누 및 기타 세제 제조업 외 1 종",02-899-1028
현대섬유,2004-07-23,4,양말,경기도 광명시 소하동 881-18번지,14411,스타킹 및 기타 양말 제조업,02-3492-6004
현민정밀,2009-09-08,3,기계부품(정밀기계),경기도 광명시 옥길동 22번지,25113,육상 금속 골조 구조재 제조업 외 1 종,02-2682-8374
현준테크,2011-11-08,5,산업용 접착제,경기도 광명시 하안동 201 번지 광명아파트형공장 2동 1층 1호,22291,플라스틱 접착처리 제품 제조업 외 1 종,02-897-6303
호성산업,2016-07-25,3,금속부품조립 외,경기도 광명시 소하동 1345번지 광명테크노파크 D동 7층 704,25119,기타 구조용 금속제품 제조업 외 1 종,02-2679-1005
화성기업,1997-12-22,6,문구류.팬시용품,경기도 광명시 철산동 225-1번지,33920,사무 및 회화용품 제조업,02-2687-1437
화인전자산업,2000-07-27,6,저항기,경기도 광명시 소하동 883-20번지,26292,전자저항기 및 전자카드 제조업,02-898-8981
환지디자인,1998-04-09,18,그리비아인쇄업,경기도 광명시 광명동 104-13번지,18119,기타 인쇄업 외 1 종,02-2688-3901
효전건기,2020-07-03,5,"수중펌프, 액체펌프, 소형 건설기계",경기도 광명시 광명동 575-34,29131,액체 펌프 제조업,02-2616-2570
휴먼&랜드,2013-07-01,1,"생산자동화시스템, 전자제품",경기도 광명시 소하동 1345번지 광명테크노파크 E동 10층 1014호,27216,산업처리공정 제어장비 제조업,02-6093-1827
흥성산업,2002-11-07,5,조명장치,경기도 광명시 철산동 626-3번지,28422,일반용 전기 조명장치 제조업 외 3 종,02-2682-3924
희망터,2016-05-30,14,"콘센트, led조명",경기도 광명시 하안동 201번지 아파트형공장 제1동 3동 1층 1,28119,기타 전기 변환장치 제조업 외 2 종,02-896-1432
