순번,회사명,공장대표주소(도로명),업종명,전화번호,팩스번호,생산품
153,(주)대영정공디씨,경기도 부천시 원미구 부천로276번길 29 (도당동),그 외 자동차용 신품 부품 제조업 외 3 종,032-667-9952,032-667-9954,자동차키BOX
154,(주)대영정공디씨 1공장,경기도 부천시 원미구 부천로276번길 22 (도당동),주형 및 금형 제조업,032-667-9952,032-667-9954,금형
155,(주)대영정공디씨 3공장,경기도 부천시 원미구 원미로225번길 16 (춘의동),알루미늄주물 주조업,032-667-9952,032-667-9954,자동차부품외
156,(주)대영초음파,경기도 부천시 원미구 원미로225번길 16-1 (춘의동) 외 1필지,그 외 기타 전기장비 제조업,032-620-2804,032-612-4370,초음파+ 진공용착기계
157,(주)대영초음파,경기도 부천시 원미구 길주로458번길 38 (춘의동),그 외 기타 전기장비 제조업,032-667-3001,032-612-4370,초음파용착기+특수용착기
158,(주)대영초음파 본사,경기도 부천시 원미구 길주로458번길 37 (춘의동),그 외 기타 전기장비 제조업,032-620-2820,032-612-4370,진동용착기+ 초음파용착기
159,(주)대영테크,경기도 부천시 원미구 평천로 784-10(도당동+ 대영테크 빌딩),인쇄 및 제책용 기계 제조업,032-673-1450,032-673-1454,인쇄기계
160,(주)대영하이텍,경기도 부천시 오정구 석천로 345+ 302동 7층 08호 (삼정동+ 부천테크노파크),인쇄 및 제책용 기계 제조업,032-329-9311,032-329-9317,인쇄기계
161,(주)대우노즐,경기도 부천시 원미구 평천로 655+ 403동 1층 01 (약대동+ 부천 테크노파크),탭+ 밸브 및 유사장치 제조업,032-321-7532,032-321-7535,스프레이노즐
162,(주)대우정밀,경기도 부천시 오정구 석천로453번길 56 (삼정동),자동차용 금속 압형제품 제조업 외 16 종,032-682-5584,032-682-5586,자동차부품+금속철물부품+총포탄부품+모타부품+의료장비부품
163,(주)대운컴퍼니,경기도 부천시 원미구 도약로298번길 26 (도당동),도장 및 기타 피막처리업,032-676-7713,032-672-7713,유리병(화장품 용기+제약병+ 주류병)
164,(주)대웅,경기도 부천시 원미구 부천로 186 (춘의동),과자류 및 코코아 제품 제조업 외 1 종,070-4863-2342,032-712-2300,코코아제품및설탕과자+껌류
165,(주)대웅기연,경기도 부천시 오정구 산업로 9+ 16-6 (오정동),주형 및 금형 제조업,032-682-6060,032-319-6379,금형부품
166,(주)대웅기연 2공장,경기도 부천시 오정구 산업로 14 (오정동),주형 및 금형 제조업,032-682-6064,032-682-6065,금형부품
167,(주)대원전기,경기도 부천시 오정구 삼작로154번길 11 (내동),운송장비 조립용 플라스틱제품 제조업 외 1 종,032-677-6363,032-677-7373,형광등용램프소켓
168,(주)대일에스엠티,경기도 부천시 오정구 부천로419번길 98+ 5층 (내동),전자부품 실장기판 제조업,032-681-1139,032-681-1138,CCTV 카메라
169,(주)대정수산,경기도 부천시 오정구 오정로 183-20+ 2층일부 (내동),기타 수산동물 가공 및 저장 처리업,032-684-6870,032-684-6871,어류+연체류
170,(주)대진테크,경기도 부천시 원미구 도약로281번길 35 (도당동),전기회로 개폐+ 보호장치 제조업 외 2 종,032-675-6813,032-675-9214,수정진동자+ 주형 및 금형+ 터미널 단자 
171,(주)대창식품,경기도 부천시 오정구 수도로105번길 20 (내동),육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,032-681-2128,032-681-9951,냉동식품
172,(주)대통코퍼레이션,경기도 부천시 오정구 삼작로163번길 57 (내동),고무+ 화학섬유 및 플라스틱 성형기 제조업 외 2 종,032-675-8844,032-675-8842,플라스틱성형기계+포장기계
173,(주)대한유리,경기도 부천시 오정구 오정로 197(내동+ (주)대한유리),안전유리 제조업 외 1 종,032-674-0055,032-674-2295,유리제품+ 유리제품
174,(주)대한항공,경기도 부천시 오정구 석천로 456 (삼정동),항공기용 엔진 제조업,032-680-3692,032-680-3689,항공기엔진정비
175,(주)대한항공,경기도 부천시 오정구 송내대로518번길 130 (삼정동),항공기용 엔진 제조업,02-2656-2001,,항공기 엔진 등
176,(주)대한항공,경기도 부천시 오정구 석천로468번길 10 (삼정동),항공기용 엔진 제조업,032-680-3692,032-680-3689,항공기엔진정비
177,(주)대현솔루션,경기도 부천시 오정구 석천로 397+ 104동 1층 102 (삼정동+ 부천테크노파크쌍용3차),운송장비 조립용 플라스틱제품 제조업 외 1 종,032-624-1730,032-624-1731,반도체장비+부품
178,(주)대호기업,경기도 부천시 원미구 원미로177번길 10 (원미동),볼트 및 너트류 제조업 외 6 종,032-656-9587,032-612-9583,나사제품
179,(주)대흥산업,경기도 부천시 오정구 석천로468번길 32-23 (삼정동),도장 및 기타 피막처리업,032-683-1718,032-681-2219,도장및피막처리업
180,(주)대흥인텍스,경기도 부천시 오정구 석천로 397+ 103동 B1층 102+103호 (삼정동+ 부천테크노파크쌍용3차),플라스틱 접착처리 제품 제조업 외 1 종,032-624-0408,032-624-0430,산업용특수테이프 가공외
181,(주)대흥정공,경기도 부천시 원미구 평천로812번길 45+ 3층 (도당동),주형 및 금형 제조업,032-719-4255,032-719-4256,프레스 금형+ 사출 금형
182,(주)댐코씨에스아이,경기도 부천시 원미구 평천로 655+ 401동 5층 501-1호 (약대동),방송장비 제조업,032-326-3763,032-326-3765,산업용 LCD 모니터+ 홈 오토 카메라
183,(주)댐코씨에스아이,경기도 부천시 원미구 평천로 655 (약대동+ 부천 테크노파크) 402동 12층 1201호,전시 및 광고용 조명장치 제조업 외 2 종,032-326-3763,032-326-3765,홈오토 camera+ 산업용 LCD monitor+ LED Monitor
184,(주)더선테크,경기도 부천시 원미구옥산로 230+ 5층 (도당동),일반용 전기 조명장치 제조업 외 6 종,02-6292-9400,02-6292-9450,LED등기구+ 배터리 및 축전지
185,(주)더시스템,경기도 부천시 오정구 석천로 397+ 102동 6층 05 (삼정동+ 부천테크노파크쌍용3차),발광 다이오드 제조업 외 1 종,032-624-1112,032-624-1113,CyroPump+ScrollPump+기타
186,(주)더이앤이솔루션,경기도 부천시 오정구 석천로453번길 43+ 4층(삼정동),기체 여과기 제조업,041-363-2145,041-363-2147,필터 등
187,(주)더헤르첸,경기도 부천시 오정구 신흥로511번길 13-33+ 401호(오정동),가방 및 기타 보호용 케이스 제조업 외 8 종,070-4770-9783,02-6971-9033,가방 및 의류대 등
188,(주)더헤르첸,경기도 부천시 원미구 수도로 88-17+ 3층(도당동+ 더헤르첸),근무복+ 작업복 및 유사의복 제조업 외 21 종,070-4770-9783,02-6971-9033, 
189,(주)덕광,경기도 부천시 오정구 오정로190번길 35 (오정동),기타 무선 통신장비 제조업 외 9 종,032-661-8661,032-661-8664,하네스
190,(주)덕산코트랜기술연구소,경기도 부천시 오정구 삼작로164번길 38 (내동),가정용 및 산업용 공기 조화장치 제조업 외 1 종,032-680-9900,032-680-9911,항온항습기+냉온열기
191,(주)덕인,경기도 부천시 오정구 오정로 43 (삼정동),산업용 오븐+ 노 및 노용 버너 제조업,032-348-3800,032-348-3838,버너
192,(주)데이타테크,경기도 부천시 원미구 송내대로 388+ 201동 3층 306호 (약대동+ 부천테크노파크),배전반 및 전기 자동제어반 제조업,032-326-5128,032-326-5129,공장자동화판넬
193,(주)도도콜렉션,경기도 부천시 소사구 송내대로30번길 13+ 6층 602호+ 601B호 (송내동),핸드백 및 지갑 제조업,032-662-9226,032-662-9228,지갑
194,(주)도로시크리에이티브,경기도 부천시 소사구 경인로9번길 51 (송내동),인형 및 장난감 제조업 외 1 종,032-662-4802,032-325-4801,인형+ 인형의상 등
195,(주)도마테크,경기도 부천시 오정구 석천로453번길 32 (삼정동),철도차량 부품 및 관련 장치물 제조업,032-233-1964,032-672-1964,철도차량케이블
196,(주)돌핀,경기도 부천시 원미구 옥산로229번길 32 (도당동),그 외 기타 일반목적용 기계 제조업 외 3 종,032-682-3827,032-682-3814,산업용자동식기세척기
197,(주)동경티앤씨,경기도 부천시 오정구 석천로 397 (삼정동+ 부천테크노파크쌍용3차) 102동 13층 1304호,비디오 및 기타 영상기기 제조업 외 4 종,02-3667-2340,032-624-2109,LCD광고모니터+TV
198,(주)동광특수금속,경기도 부천시 오정구 고리울로64번길 77-7+ 1층 (고강동),전기회로 개폐+ 보호장치 제조업 외 2 종,032-674-1991,032-674-1992,전자부품조립
199,(주)동국일렉콘스,경기도 부천시 오정구 석천로 345+ 301동 15층 1501 (삼정동+ 부천테크노파크),기기용 자동측정 및 제어장치 제조업 외 8 종,032-621-3366,032-621-3456,계측제어장치
200,(주)동남전선,경기도 부천시 원미구 평천로850번길 111+ D동402호 (도당동),기타 절연선 및 케이블 제조업,032-674-0536,032-674-0533,전선
201,(주)동명전기,경기도 부천시 오정구 오정로188번길 42+ 2층 (오정동),배전반 및 전기 자동제어반 제조업,032-671-6801,032-671-6803,배전반및 전자동제어반
202,(주)동명파워코드,경기도 부천시 오정구 옥산로290번길 23(내동),그 외 기타 전자부품 제조업,032-553-4361,032-553-4362,파워코드
203,(주)동부라이팅,경기도 부천시 원미구 도약로 261 (도당동+ 부천대우테크노파크) A동 210호,일반용 전기 조명장치 제조업,032-670-8118,032-670-8119,아파트 등기구
204,(주)동성키친토탈,경기도 부천시 오정구 신흥로437번길 70-8 (삼정동),수동식 식품 가공기기 및 금속 주방용기 제조업 외 3 종,032-684-5554,032-679-5855,주방식기류
205,(주)동신기계,경기도 부천시 원미구 평천로850번길 9 (도당동),기타 섬유+ 의복 및 가죽 가공 기계 제조업,032-683-5157,,섬유기계
206,(주)동아진공열처리,경기도 부천시 원미구 길주로425번길 14 (춘의동),금속 열처리업,032-683-8145,032-683-8146,금속열처리
207,(주)동양에프앤씨,경기도 부천시 원미구 부천로321번길 23(도당동),탭+ 밸브 및 유사장치 제조업,032-672-1607,032-672-1627,내산밸브
208,(주)동영화학,경기도 부천시 원미구 길주로444번길 42 (춘의동),플라스틱 필름 제조업 외 1 종,032-613-7927,032-668-5677,플라스틱필름및시트
209,(주)동우전자,경기도 부천시 오정구 신흥로420번길 43 (내동),유선 통신장비 제조업 외 1 종,032-673-3114,032-676-0208,금형+ 교환기 케이블
210,(주)동윤에스엠티전자,경기도 부천시 오정구 석천로 345 (삼정동+ 부천테크노파크) 302동 608호,전자부품 실장기판 제조업,032-326-6239,032-327-6239,PCB 등
211,(주)동인광학,경기도 부천시 오정구 석천로380번길 1 (삼정동),안경 및 안경렌즈 제조업 외 7 종,032-328-9935,032-328-9990,도트사이트+과학조준경
212,(주)동인기업,경기도 부천시 오정구 신흥로416번길 73 (내동),적층+ 합성 및 특수표면처리 종이 제조업,032-672-9602,032-672-9607,폴리에틸렌코팅(표면처리업)
213,(주)동인산전,경기도 부천시 원미구 도약로308번길 25 (도당동),전기회로 개폐+ 보호장치 제조업,032-678-3250,032-678-3253,리미트스위치+ 가바나스위치+ 인터록스위치+ 로프브래이크
214,(주)동일브레이징,경기도 부천시 원미구 부천로 348 (도당동),가정용 전기 난방기기 제조업 외 6 종,032-677-5252,032-678-7211,전기보일러+판형열교환기+온수분배기
215,(주)동일전기,경기도 부천시 오정구 신흥로437번길 110 (삼정동),전기회로 개폐+ 보호장치 제조업 외 1 종,032-683-0040,032-683-0043,엘리베이터용콘트롤판넬
216,(주)동주,경기도 부천시 오정구 오정로 171 (내동),도장 및 기타 피막처리업 외 1 종,032-677-1236,032-671-1235,플라스틱 도장품+ LED STREET LIGHT
217,(주)동화에프앤엘,경기도 부천시 소사구 경인로597번길 23 (괴안동),셔츠 및 블라우스 제조업 외 1 종,032-348-5155,032-344-5159,셔츠
218,(주)동화이엔아이,경기도 부천시 원미구  도약로 261 (도당동+ 부천대우테크노파크) D동 10층 07호,배전반 및 전기 자동제어반 제조업,032-715-6060,032-670-7065,배전반+ 자동제어반
219,(주)동화테크원,경기도 부천시 오정구 석천로380번길 63 (삼정동) 1층+ 2층,간판 및 광고물 제조업 외 1 종,032-678-2744,032-678-2944,불법광고물 부착방지품
220,(주)두리식품,경기도 부천시 원미구 옥산로 186 (도당동),육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,032-682-0088,032-681-0088,육지동물고기가공및저장처리업
221,(주)두리원텍,경기도 부천시 오정구 오정로 20-22 (삼정동),도장 및 기타 피막처리업,032-664-3106,032-664-3107,(핸드폰+전자)부품 코팅
222,(주)두손전자,경기도 부천시 원미구 송내대로 388 (약대동+ 부천테크노파크) 201동 7층 703호,전기경보 및 신호장치 제조업,032-621-0505,032-621-0509,비상경보기
223,(주)두손전자,경기도 부천시 원미구 송내대로 388+ 201동 3층 308호 (약대동+ 부천테크노파크),전자축전기 제조업,032-621-0505,032-621-0509,전자저울보드
224,(주)두원정밀,경기도 부천시 원미구 부천로186번길 15-3 (춘의동+ 두원정밀),주형 및 금형 제조업 외 4 종,032-668-8551,032-668-8554,기기용전기회로개폐+보호및접속장치+금형
225,(주)두일테크,경기도 부천시 원미구 송내대로 388+ 601+ 602+ 702호 (약대동+ 부천테크노파크) 601+ 602+ 702호,물질 검사+ 측정 및 분석기구 제조업 외 6 종,032-327-3443,032-327-3442,측정기구
226,(주)듀아드,경기도 부천시 원미구  원미로 52 (원미동),비 및 솔 제조업,032-666-8028,032-665-1715,칫솔
227,(주)드림아스콘,경기도 부천시 오정구 오정로 12 (삼정동),아스팔트 콘크리트 및 혼합제품 제조업,032-678-0081,032-672-5072,아스콘
228,(주)드림에스앤디그룹,경기도 부천시 오정구 역곡로344번길 98+ 1~3층(작동),간판 및 광고물 제조업,032-329-7244,032-329-7234,외부+ 내부 사인 및 간판+ 채널
229,(주)드림케어코리아,경기도 부천시 원미구 정주로 94 (도당동) 비즈타워 403+ 404호,기타 직물제품 제조업,032-715-9407,032-715-9408,마스크
