연번,업체명,업종구분,산업분류코드,소재지,전화번호,팩스번호,고용인원 수,데이터기준일자
172,(주)대원모빌랙,금속 가구 제조업 외 1 종,32091,충청북도 음성군 삼성면 대덕로 63-75,02-2235-2693,02-2235-2695,19,2025-08-31
173,(주)대원산업,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,23325,충청북도 음성군 맹동면 초금로 288,043-877-8091,043-877-8094,2,2025-08-31
174,(주)대원이엔지,육상 금속 골조 구조재 제조업 외 1 종,25113,,,,5,2025-08-31
175,(주)대원이엔티,그 외 기타 분류 안된 화학제품 제조업 외 1 종,20499,충청북도 음성군 맹동면 초금로 169-16 외 4필지,043-877-5645,043-877-5645,7,2025-08-31
176,(주)대유알디,"산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업",29261,충청북도 음성군 금왕읍 행제길 28 (총 2 필지) 외 1필지,043-877-6671,043-877-6674,2,2025-08-31
177,(주)대일,기타 비알코올 음료 제조업 외 1 종,11209,충청북도 음성군 금왕읍 금율로 220-35 (총 3 필지) 외 2필지,1544-2993,,20,2025-08-31
178,(주)대일이엔지,음ㆍ식료품 및 담배 가공기계 제조업,29250,충청북도 음성군 금왕읍 성본산단2로 99,055-383-1130,055-383-1135,15,2025-08-31
179,(주)대일텍,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 3 종",23324,충청북도 음성군 생극면 생극산단길 106,02-575-9823,02-575-9014,20,2025-08-31
180,(주)대자연농산,곡물 제분업,10512,충청북도 음성군 삼성면 덕호로415번길 33-84 외 3필지,,,7,2025-08-31
181,(주)대정,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업 외 1 종",22292,충청북도 음성군 금왕읍 진재길 6,043-877-5597,043-877-3152,5,2025-08-31
182,(주)대조,기타 절연선 및 케이블 제조업,28302,충청북도 음성군 삼성면 일생로 54-23 외 1필지,043-878-0693,043-878-0696,18,2025-08-31
183,(주)대진냉동,산업용 냉장 및 냉동 장비 제조업,29171,충청북도 음성군 대소면 삼정리 380-3,043-882-4983,043-882-4984,6,2025-08-31
184,(주)대진식품,건강보조용 액화식품 제조업,10896,충청북도 음성군 대소면 대금로 693 외 2필지,043-881-2767,043-881-2767,10,2025-08-31
185,(주)대찬테크,발광 다이오드 제조업 외 1 종,26121,충청북도 음성군 맹동면 태정로 50,043-882-2715,043-882-2716,30,2025-08-31
186,(주)대창에스앤티,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 금왕읍 금율로30번길 13,043-872-1783,,8,2025-08-31
187,(주)대촌,그 외 기타 플라스틱 제품 제조업,22299,충청북도 음성군 삼성면 금일로 1282,043-878-0313,043-878-6525,65,2025-08-31
188,(주)대한리더스산업,구조용 금속 판제품 및 공작물 제조업 외 1 종,25112,충청북도 음성군 원남면 원소로 34-19,,02-2633-8276,10,2025-08-31
189,(주)대한아이엠,기타 건축용 플라스틱 조립제품 제조업 외 1 종,22229,충청북도 음성군 대소면 대동로 756 외 1필지,043-877-2969,043-877-2968,34,2025-08-31
190,(주)대한에프앤에스,육류 기타 가공 및 저장처리업 (가금류 제외) 외 1 종,10129,충청북도 음성군 금왕읍 진성로 1397-25 (금왕읍) 외 1필지,043-882-8308,043-882-8309,10,2025-08-31
191,(주)대한에프앤에스 2공장,가금류 가공 및 저장 처리업 외 1 종,10121,충청북도 음성군 생극면 일생로 636 외 1필지,043-882-8308,043-882-8309,16,2025-08-31
192,(주)대한엠피에스,가금류 가공 및 저장 처리업,10121,충청북도 음성군 소이면 소이로41번길 9-17 외 4필지,043-873-0231,043-873-0230,30,2025-08-31
193,(주)대한후렉시블,구조용 금속 판제품 및 공작물 제조업,25112,"충청북도 음성군 음성읍 덕생로 1048, 대한후렉시블",031-282-0623,031-281-0768,3,2025-08-31
194,(주)대현엔지니어링,금속 캔 및 기타 포장용기 제조업 외 6 종,25991,충청북도 음성군 금왕읍 각회리 683-6번지,043-533-1547,,55,2025-08-31
195,(주)대현엔지니어링,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 삼성면 대성로380번길 220 외 2필지,043-533-1547,,11,2025-08-31
196,(주)대혜건축음성공장,"콘크리트 타일, 기와, 벽돌 및 블록 제조업 외 1 종",23324,충청북도 음성군 맹동면 덕금로 22 외 10필지,043-877-4393,043-877-4395,52,2025-08-31
197,(주)대호엔지니어링,설치용 및 위생용 플라스틱제품 제조업,22222,충청북도 음성군 금왕읍 삼봉길150번길 13,,,5,2025-08-31
198,(주)대호유앤씨,도장 및 기타 피막처리업,25923,충청북도 음성군 금왕읍 멍심이길 47-1 외 2필지,043-882-9221,043-882-9220,2,2025-08-31
199,(주)대호유앤씨,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 대소면 한삼로91번길 29-4 외 1필지,043-882-9221,043-882-9220,61,2025-08-31
200,(주)대호이엔지,주형 및 금형 제조업,29293,충청북도 음성군 금왕읍 덕금로 920-1 외 3필지,043-883-5759,043-883-5760,7,2025-08-31
201,(주)대흥산업,플라스틱 필름 제조업 외 6 종,22212,충청북도 음성군 삼성면 대청로 110 외 6필지,043-878-5281,,25,2025-08-31
202,(주)대흥에프에스씨복합창,플라스틱 창호 제조업 외 2 종,22223,충청북도 음성군 금왕읍 행제길 56,043-883-3567,043-883-3569,18,2025-08-31
203,(주)더말코리아,화장품 제조업 외 1 종,20423,충청북도 음성군 삼성면 대성로547번길 105 외 3필지,043-877-5445,043-878-7113,45,2025-08-31
204,(주)더블유엘폴리머,플라스틱 필름 제조업 외 1 종,22212,충청북도 음성군 삼성면 금일로1135번길 16,043-882-0331,,10,2025-08-31
205,(주)더스타일컴퍼니,셔츠 및 블라우스 제조업,14191,충청북도 음성군 원남면 원소로 159,,,5,2025-08-31
206,(주)더원테크이앤씨,"금속 문, 창, 셔터 및 관련제품 제조업",25111,충청북도 음성군 생극면 음성로 1376-16,043-882-3218,043-882-3219,4,2025-08-31
207,(주)더지코,일반철물 제조업 외 1 종,25932,충청북도 음성군 감곡면 음성로2092번길 9-41,031-932-8041,043-883-8048,10,2025-08-31
208,(주)덕림소재,비금속광물 분쇄물 생산업,23993,충청북도 음성군 원남면 충청대로 490-23,043-872-9767,043-872-9768,3,2025-08-31
209,(주)덕암이엔씨,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 금왕읍 금일로183번길 75-20,043-877-7854,043-877-7855,6,2025-08-31
210,(주)덕인,육상 금속 골조 구조재 제조업 외 3 종,25113,충청북도 음성군 삼성면 덕호로 568-15 외 1필지,043-883-6613,043-883-6614,4,2025-08-31
211,(주)덕일하이스킨,표면처리 및 적층 직물 제조업,13994,충청북도 음성군 금왕읍 유촌로232번길 48-11 외 3필지,043-882-4900,043-882-4901,6,2025-08-31
212,(주)덤코벨스포츠,"체조, 육상 및 체력단련용 장비 제조업",33301,충청북도 음성군 대소면 대풍산단1길 74,070-8816-3415,043-532-3415,6,2025-08-31
213,(주)델랩,위생용 종이제품 제조업 외 1 종,17902,충청북도 음성군 삼성면 덕정로 169-66,070-5014-3890,043-877-7174,5,2025-08-31
214,(주)도성산업,육상 금속 골조 구조재 제조업,25113,충청북도 음성군 원남면 원중로 230-83 외 5필지,043-882-1815,043-873-8568,5,2025-08-31
215,(주)도스,기타 목재가구 제조업,32029,충청북도 음성군 금왕읍 금일로 461-42,043-878-8447,043-882-8797,36,2025-08-31
216,(주)도스켐,그 외 기타 고무제품 제조업,22199,충청북도 음성군 생극면 음성로 1925 (총 2 필지) 외 1필지,043-877-9693,043-877-9695,7,2025-08-31
217,(주)도원,건설용 석제품 제조업,23911,충청북도 음성군 대소면 한삼로 108-44,031-5175-0535,031-5175-0536,2,2025-08-31
218,(주)도호,"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업",20132,충청북도 음성군 원남면 상경로 340 외 1필지,043-872-1614,043-872-1604,10,2025-08-31
219,(주)동건,컨베이어장치 제조업 외 3 종,29163,충청북도 음성군 금왕읍 유촌리 540 외 4필지,043-883-0272,043-883-0282,8,2025-08-31
220,(주)동건티앤엘,기타 가공 공작기계 제조업,29229,충청북도 음성군 삼성면 금일로700번길 27,043-883-0270,043-883-0282,10,2025-08-31
221,(주)동건티앤엘,기타 가공 공작기계 제조업,29229,충청북도 음성군 금왕읍 오선리 563번지,043-883-0270,043-883-0282,10,2025-08-31
222,(주)동광,포장용 플라스틱 성형용기 제조업,22232,충청북도 음성군 대소면 대금로 653-22,043-878-9200,043-878-9203,35,2025-08-31
223,(주)동국피앤시,그 외 기타 종이 및 판지 제품 제조업,17909,"충청북도 음성군 대소면 대금로 888-8, (성본리 352-8)",043-881-9011,043-881-9013,5,2025-08-31
224,(주)동민,기타 종이 상자 및 용기 제조업,17229,충청북도 음성군 용성로 134 (삼성면),,,43,2025-08-31
225,(주)동방엠에스,육류 포장육 및 냉동육 가공업 (가금류 제외) 외 9 종,10122,충청북도 음성군 대소면 성본산단2로 312,043-882-8311,043-882-8313,60,2025-08-31
226,(주)동방푸드마스타,육류 기타 가공 및 저장처리업 (가금류 제외) 외 16 종,10129,충청북도 음성군 대소면 대금로105번길 70 외 13필지,043-877-2075,043-877-3080,176,2025-08-31
227,(주)동방푸디쓰,천연 및 혼합조제 조미료 제조업 외 1 종,10832,충청북도 음성군 대소면 대금로105번길 70 외 9필지,02-776-6530,02-774-0779,1,2025-08-31
228,(주)동부농자재,그 외 기타 1차 철강 제조업,24199,충청북도 음성군 대소면 한삼로153번길 74-10 외 2필지,043-883-0877,043-883-0879,2,2025-08-31
229,(주)동서베스텍,"플라스틱 포대, 봉투 및 유사제품 제조업 외 1 종",22231,충청북도 음성군 감곡면 영산로 367,043-883-8492,043-883-8088,17,2025-08-31
230,(주)동서알앤이,그 외 기타 일반목적용 기계 제조업 외 1 종,29199,충청북도 음성군 삼성면 금일로700번길 156-30,043-883-3132,,6,2025-08-31
231,(주)동신디에스,혼성 및 재생 플라스틱 소재 물질 제조업,20203,충청북도 음성군 삼성면 행제길76번길 101,043-883-5045,0303-3130-5045,5,2025-08-31
232,(주)동신폴리켐,플라스틱 필름 제조업 외 3 종,22212,충청북도 음성군 대소면 대물로 75-45 외 6필지,043-877-4266,043-881-9865,25,2025-08-31
233,(주)동아지질,건설 및 채광용 기계장비 제조업,29241,충청북도 음성군 감곡면 문촌리 173-3번지 외 2필지,043-882-0283,051-580-5678,5,2025-08-31
234,(주)동양산업,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 금왕읍 사창리 434-1번지 외 2필지,043-881-8313,043-877-9032,10,2025-08-31
235,(주)동양안전유리,안전유리 제조업,23112,충청북도 음성군 대소면 대동로 683-33,043-881-6267,043-881-6269,10,2025-08-31
236,(주)동양특수유리,안전유리 제조업,23112,충청북도 음성군 금왕읍 금일로183번길 109,043-881-6267,043-881-6269,29,2025-08-31
237,(주)동양프라텍,포장용 플라스틱 성형용기 제조업,22232,충청북도 음성군 감곡면 상우길 221,043-877-1467,043-878-1469,10,2025-08-31
238,(주)동우산업,플라스틱 창호 제조업,22223,충청북도 음성군 대소면 소석로 39 외 3필지,043-878-3152,043-877-3153,15,2025-08-31
239,(주)동우이엔지,컨베이어장치 제조업,29163,충청북도 음성군 금왕읍 사창리 64-1,043-877-4116,043-877-4117,6,2025-08-31
240,(주)동일,구조용 금속 판제품 및 공작물 제조업,25112,충청북도 음성군 음성읍 한불로69번길 14,043-872-4628,043-872-4620,11,2025-08-31
241,(주)동일레이져,절삭가공 및 유사처리업,25924,충청북도 음성군 삼성면 대청로 115-8 외 1필지,043-883-8425,043-883-7654,14,2025-08-31
242,(주)동일제약,"치약, 비누 및 기타 세제 제조업 외 3 종",20422,충청북도 음성군 맹동면 리노산단길 26,043-877-2132,043-883-2844,21,2025-08-31
243,(주)동진쎄미켐 제1공장,그 외 기타 분류 안된 화학제품 제조업 외 1 종,20499,충청북도 음성군 대소면 초금로 373,043-883-1984,043-883-1990,6,2025-08-31
244,(주)동진쎄미켐 제2공장,그 외 기타 분류 안된 화학제품 제조업 외 1 종,20499,충청북도 음성군 대소면 초금로 373-1,043-877-9131,043-877-9199,7,2025-08-31
245,(주)동진첨단소재,그 외 기타 분류 안된 화학제품 제조업,20499,충청북도 음성군 대소면 초금로 373,043-881-1411,043-881-1417,99,2025-08-31
246,(주)동진패키지,골판지 제조업,17211,충청북도 음성군 대소면 대금로511번길 106-10,043-881-3660,043-881-3660,5,2025-08-31
247,(주)동학식품,아이스크림 및 기타 식용빙과류 제조업 외 2 종,10422,충청북도 음성군 원남면 원남산단1길 31-23,043-723-1070,043-723-1071,29,2025-08-31
248,(주)동호산업,부직포 및 펠트 제조업,13992,충청북도 음성군 금왕읍 금일로284번길 20,043-878-6224,,7,2025-08-31
249,(주)동호철강,육상 금속 골조 구조재 제조업 외 1 종,25113,충청북도 음성군 금왕읍 멍심이길 217-31,043-877-1971,043-877-1970,6,2025-08-31
250,(주)동호테크,플라스틱 접착처리 제품 제조업 외 1 종,22291,충청북도 음성군 삼성면 대청로 256-25 외 1필지,043-878-3152,043-878-3153,6,2025-08-31
251,(주)동흥테크,그 외 자동차용 신품 부품 제조업,30399,충청북도 음성군 맹동면 두레로 108,031-492-6530,031-491-6531,10,2025-08-31
252,(주)두래,그 외 기타 분류 안된 화학제품 제조업 외 1 종,20499,충청북도 음성군 금왕읍 봉곡리 695,031-397-6066,031-397-5322,6,2025-08-31
253,(주)두루원,차류 가공업 외 5 종,10892,충청북도 음성군 삼성면 덕호로 566 (주)두루원 외 1필지,043-878-8222,043-878-8933,20,2025-08-31
254,(주)두본 음성지점,그 외 기타 분류 안된 화학제품 제조업 외 1 종,20499,충청북도 음성군 금왕읍 유촌로 168-17,043-882-0121,043-882-0125,11,2025-08-31
255,(주)두성코리아,플라스틱 필름 제조업 외 1 종,22212,충청북도 음성군 삼성면 대성로 438-50 외 2필지,031-871-2321,043-878-2391,14,2025-08-31
256,(주)두성플러스,플라스틱 필름 제조업,22212,충청북도 음성군 삼성면 덕호로 127-2,043-882-2321,,1,2025-08-31
257,(주)두원전기소방,전동기 및 발전기 제조업 외 2 종,28111,충청북도 음성군 원남면 상경로 424-17 외 1필지,043-838-1009,043-838-1059,8,2025-08-31
258,(주)두인이엔지,기체 여과기 제조업 외 2 종,29175,충청북도 음성군 생극면 송곡길 99-6 외 1필지,043-881-9888,,9,2025-08-31
259,(주)두현,"천막, 텐트 및 유사 제품 제조업 외 2 종",13224,충청북도 음성군 삼성면 하이텍산단로 28-3 (삼성면) 외 3필지,043-877-7877,043-877-7872,27,2025-08-31
260,(주)두현이앤씨,콘크리트 관 및 기타 구조용 콘크리트 제품 제조업 외 1 종,23325,충청북도 음성군 삼성면 용성리 451,031-8016-1579,031-8016-1580,3,2025-08-31
261,(주)드림산업개발,비금속광물 분쇄물 생산업,23993,충청북도 음성군 생극면 송곡길38번길 83 외 1필지,043-750-7460,043-750-7462,10,2025-08-31
262,(주)득영,부직포 및 펠트 제조업 외 1 종,13992,충청북도 음성군 삼성면 금일로 1087-16,043-882-2451,043-882-2457,29,2025-08-31
263,(주)득영 2공장,표면처리 및 적층 직물 제조업 외 2 종,13994,충청북도 음성군 금왕읍 금율로 248,043-878-5501,043-000-0000,1,2025-08-31
264,(주)디비하이텍,메모리용 전자집적회로 제조업 외 1 종,26111,충청북도 음성군 감곡면 상우안길 73,043-879-5131,043-879-9900,716,2025-08-31
265,(주)디씨에스,일반용 도료 및 관련제품 제조업 외 2 종,20411,충청북도 음성군 생극면 생극산단길 52,031-982-7235,031-982-7237,27,2025-08-31
266,(주)디에스리프트,기타 물품 취급장비 제조업,29169,충청북도 음성군 대소면 부윤리 425 외 1필지,,,6,2025-08-31
267,(주)디에스테크노,그 외 기타 전자부품 제조업,26299,충청북도 음성군 대소면 대소산단로 71,031-8026-0778,043-533-7432,29,2025-08-31
