회사명,업종명,생산품,주소,연락처,출처파일,전화번호,대표자명,공장대표주소(지번),공장대표주소(도로명)
칠성정밀,주형 및 금형 제조업,자동차부품 금형,"경기도 군포시 당정로27번길 37, 104동 1층 105호 (당정동, 한기업사)",031-436-0930,경기도 군포시_공장등록 현황_20250915.csv,,,,
킴블레이드,그 외 기타 고무제품 제조업,자동차 와이퍼,경기도 군포시 당정로75번길 23 (당정동) 군포제일공단 1동 5층 505호,031-341-0088,경기도 군포시_공장등록 현황_20250915.csv,,,,
태영정밀,자동차 차체용 신품 부품 제조업 외 1 종,자동차부품,경기도 군포시 봉성로 40-14 (당동),031-459-2435,경기도 군포시_공장등록 현황_20250915.csv,,,,
한산설기,주형 및 금형 제조업,자동차금형,"경기도 군포시 공단로 284, 한림벤쳐타운 305-2호 (금정동)",031-458-2766,경기도 군포시_공장등록 현황_20250915.csv,,,,
한일산업,그 외 기타 플라스틱 제품 제조업 외 1 종,"자동차 와이퍼 부품, 렌즈케이스",경기도 군포시 산본로86번길 9 (당정동),031-454-6372,경기도 군포시_공장등록 현황_20250915.csv,,,,
현우정밀,그 외 기타 전자부품 제조업,"전자, 자동차부품 임가공",경기도 군포시 당정로60번길 16-2 (당정동),031-459-4792,경기도 군포시_공장등록 현황_20250915.csv,,,,
(주)강성산업,도장 및 기타 피막처리업,자동차부품,경기도 부천시 오정구 신흥로390번길 42 (내동),032-672-7075,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)광우정밀,주형 및 금형 제조업,초정밀 컨넥터 금형+ 자동차 금형 등,경기도 부천시 오정구 삼작로 22+ 101동 1층 04 (삼정동+ 부천테크노파크),032-325-8116,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)국민정밀,자동차용 금속 압형제품 제조업 외 2 종,키오스크+ATM기+ 통신기기+ 금속가공부품,경기도 부천시 오정구 삼작로133번길 28 (내동),032-676-4029,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)국일초음파,그 외 자동차용 신품 부품 제조업,자동차부품+ 전자부품,경기도 부천시 원미구 조마루로385번길 122+ 2층 207호+ 208호 (춘의동),032-675-0876,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)뉴이스트원테크,액정 표시장치 제조업 외 2 종,차량용 후방카메라 및 모니터,경기도 부천시 원미구 도약로 261+ A동 9층 08 (도당동+ 부천대우테크노파크),070-4353-0100,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)다올이엔티,기타 전기 변환장치 제조업 외 1 종,자판기+ 전기자동차용충전장치,경기도 부천시 오정구 신흥로511번길 13-39 (오정동) 1층,,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)대건케이블,고무패킹류 제조업 외 3 종,용접기케이블외 자동차케이블,경기도 부천시 오정구 석천로442번길 77-8 (삼정동),032-672-9792,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)대성테크,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경기도 부천시 원미구 평천로 655+ 403동 1층 04 (약대동+ 부천 테크노파크),032-327-2120,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)대영정공디씨,그 외 자동차용 신품 부품 제조업 외 3 종,자동차키BOX,경기도 부천시 원미구 부천로276번길 29 (도당동),032-667-9952,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)대영정공디씨 3공장,알루미늄주물 주조업,자동차부품외,경기도 부천시 원미구 원미로225번길 16 (춘의동),032-667-9952,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)대우정밀,자동차용 금속 압형제품 제조업 외 16 종,자동차부품+금속철물부품+총포탄부품+모타부품+의료장비부품,경기도 부천시 오정구 석천로453번길 56 (삼정동),032-682-5584,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)댐코씨에스아이,방송장비 제조업,산업용 LCD 모니터+ 홈 오토 카메라,경기도 부천시 원미구 평천로 655+ 401동 5층 501-1호 (약대동),032-326-3763,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)댐코씨에스아이,전시 및 광고용 조명장치 제조업 외 2 종,홈오토 camera+ 산업용 LCD monitor+ LED Monitor,경기도 부천시 원미구 평천로 655 (약대동+ 부천 테크노파크) 402동 12층 1201호,032-326-3763,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)디아이테크놀로지,그 외 기타 금속가공업 외 1 종,가정용 다목적 온도계+ 의료장비+ 자동차부품(골드+ 니켈접점) 등,경기도 부천시 오정구 삼작로143번길 14+ 1층 일부(내동+ 대양빌딩),070-8232-8774,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)디에스스틸,자동차용 금속 압형제품 제조업 외 3 종,철판가공,경기도 부천시 오정구 원미로 279 (여월동),032-674-9266,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)디에스텔레콤,속도계 및 적산계기 제조업 외 4 종,SMT 및 자동차블랙박스+ 차량용 운행 기록계,경기도 부천시 오정구 석천로 397+ 101동 7층 04 (삼정동+ 부천테크노파크쌍용3차),032-624-1400,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)무아정밀,자동차용 금속 압형제품 제조업,전자부품+ 자동차부품,경기도 부천시 오정구 오정로 27-13+ 1층 (삼정동),032-342-5695,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)블루텍,비디오 및 기타 영상기기 제조업,자동차 블랙박스 등,경기도 부천시 원미구 부흥로 2+ 403호+ 404호 (상동+ 송림프라자),,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)비에프시스템,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품(가스인젝션키트),경기도 부천시 원미구도약로 261 (도당동+ 부천대우테크노파크) D동 12층 03호,032-670-7450,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)비즈크로스,비디오 및 기타 영상기기 제조업,자동차용 영상기록장치,경기도 부천시 원미구도약로 261 (도당동+ 부천대우테크노파크) A동 6층 07호,032-670-7790,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)삼원정공,그 외 자동차용 신품 부품 제조업 외 3 종,자동차부품,경기도 부천시 원미구조마루로411번길 20-9 (원미동),032-665-2422,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)삼진산업,자동차용 금속 압형제품 제조업 외 1 종,금속압형제품,경기도 부천시 원미구 원미로201번길 20 (춘의동),032-654-8041,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)상상제작소,그 외 기타 일반목적용 기계 제조업,차량센서거치대+ 양궁전자표적+ 의류청정기,경기도 부천시 원미구 조마루로385번길 122 (춘의동+ 삼보테크노타워) 16층 1617호+ 1618호,032-710-7179,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)상촌인터내쇼날,주형 및 금형 제조업,지그부품+ 자동차부품,경기도 부천시 원미구 길주로 424+ 1호 (춘의동),032-667-1503,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)상쿠스,운송장비 조립용 플라스틱제품 제조업 외 2 종,자동차휠캡,경기도 부천시 오정구 석천로453번길 64-10 (삼정동),032-682-6080,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)스카이테크놀로지,비디오 및 기타 영상기기 제조업,차량용 블랙박스,경기도 부천시 원미구 부천로198번길 36+ 101동 1401호+ 1402호 (춘의동),032-201-3570,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)신형아이엔티,그 외 기타 플라스틱 제품 제조업 외 1 종,자동차용거치대 등,경기도 부천시 원미구 옥산로229번길 11+ 1층일부+ 3층 (도당동),032-672-0772,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)신호,전자저항기 및 전자카드 제조업,자동차 전자부품,경기도 부천시 원미구 조마루로427번길 125 (춘의동+ 춘의동공장),032-349-4527,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)아이에이시스템,자동차용 신품 전기장치 제조업 외 1 종,썬루프모터제어기,경기도 부천시 오정구 석천로 397+ 202동 11층 07 (삼정동+ 부천테크노파크쌍용3차),070-7098-5100,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)액트로닉스,그 외 자동차용 신품 부품 제조업 외 3 종,자동차관련부품,경기도 부천시 오정구 신흥로413번길 54-18 (삼정동),032-672-6471,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)에스엠알효상,그 외 자동차용 신품 부품 제조업 외 3 종,자동차백밀러,경기도 부천시 원미구  조마루로427번길 116 (춘의동),032-550-2800,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)에스티엠,자동차용 금속 압형제품 제조업 외 1 종,금속압형,경기도 부천시 오정구 옥산로278번길 21 (내동),032-684-3501,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)에이이엠모빌리티,도장 및 기타 피막처리업 외 1 종,자동차 부품 내장제 (플라스틱 버튼류),경기도 부천시 오정구 수도로117번길 24+ 2+3층 (내동),032-673-7201,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)엠케이씨,플라스틱 접착처리 제품 제조업 외 3 종,자동차부품,경기도 부천시 오정구 삼작로95번길 23+ 4층 (삼정동),032-673-0782,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)오성테크,자동차용 금속 압형제품 제조업 외 1 종,금속압형,경기도 부천시 오정구 부천로425번길 21+ (1층) (내동),032-678-9426,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)오션라이트,전구 및 램프 제조업,자동차용 할로겐전구,경기도 부천시 오정구 오정로 74-1+ 5동2층1호 (삼정동),032-556-2654,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)월드그린,자동차용 금속 압형제품 제조업 외 1 종,자동차 부품+ 배기가스 저감장치+ 연료유 활성화장치,경기도 부천시 원미구 조마루로385번길 80 (원미동) 춘의테크노파크 3차 906호,032-503-1763,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)월드디엔디,자동차용 금속 압형제품 제조업 외 1 종,커넥터 부품,경기도 부천시 원미구 평천로826번길 1 (도당동),032-678-8850,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)유창알미늄,그 외 자동차용 신품 부품 제조업,자동차 힌지 ,경기도 부천시 원미구 도약로 296(도당동+ 원진정밀),031-498-6321,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)인디펜던스,모터사이클 제조업 외 2 종,자동차 부품+ CNG 키트+ LNG 키트,경기도 부천시 원미구 조마루로385번길 122+ 4층 424호 (춘의동),032-270-6138,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)일렉트리,기타 전기 변환장치 제조업 외 1 종,전기자동차 충전기 휴대용+ 전기자동차 충전기 완속+급속,경기도 부천시 오정구 오정로 36+ 1층+2층(삼정동),032-328-0825,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)정훈,자동차용 금속 압형제품 제조업 외 1 종,금속압형제품,경기도 부천시 원미구 정주로 89 (약대동+ (주)정훈),032-678-5188,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)지맥스,전구 및 램프 제조업,자동차 전구,경기도 부천시 오정구 삼작로 22+ 102동 8층 805호 (삼정동),032-815-5785,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)진리더스,방송장비 제조업,차량용 블랙박스,경기도 부천시 원미구도약로252번길 28+3+4층 (도당동),032-677-0347,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)카런,자동차 재제조 부품 제조업,인젝터+고압펌프+터보+엔진,경기도 부천시 오정구 송내대로518번길 104 -6(삼정동),02-2690-1524,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)케이디플렉스,전자부품 실장기판 제조업,자동차LED부품+반도체저장장치,경기도 부천시 오정구 석천로 397+ 103동 7층 09+10+11 (삼정동+ 부천테크노파크쌍용3차),070-8672-0092,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)케이에스전자,전자부품 실장기판 제조업,차량용보조배터리+ 태블렛모니터 등,경기도 부천시 원미구 부천로 286+ 3층 (도당동),070-4416-4142,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)케이엠하이테크,자동차용 금속 압형제품 제조업 외 5 종,판금(디지탈피아노부품+벽걸이TV)+금속가구+금형+도장,경기도 부천시 오정구 삼작로133번길 41-18 (내동) 외 1필지,032-674-2687,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)코리아필터링,액체 여과기 제조업 외 1 종,차량용필터,경기도 부천시 오정구 삼작로 22+ 101동 B1층 B12호 (삼정동+ 부천테크노파크),032-324-5502,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)티앤에프글로벌,비디오 및 기타 영상기기 제조업 외 1 종,자동차용 블랙박스+ 자동차 영상관련 부품 등,경기도 부천시 오정구 석천로 397+ (삼정동+ 부천테크노파크쌍용3차) 303동 6층 04호,032-219-8030,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)프로이텍,라디오+ 녹음 및 재생 기기 제조업 외 2 종,자동차오디오부품+ 기타전자제품,경기도 부천시 오정구 석천로 397+ 202동 8층 02 (삼정동+ 부천테크노파크쌍용3차),032-345-7335,경기도 부천시_공장등록현황_20251118.csv,,,,
(주)한양실업,금속 표시판 제조업 외 1 종,자동차번호판+ 봉인장치,경기도 부천시 오정구 신흥로438번길 74-1+ 1층 (내동),032-675-9969,경기도 부천시_공장등록현황_20251118.csv,,,,
