연번,구분,업체명,업체 주소,생산품,전화번호
189,소기업,(주)마농탄토,"인천광역시 부평구 부평대로 283, B동 3층 305 (청천동, 부평 우림라이온스밸리)","간판광고물, 실물모형, 조형물, 공공시설물 등",032-577-8886
190,소기업,(주)마루합금,"인천광역시 부평구 백범로577번길 20, 공장동 5층 517 (십정동, 경인센타) 공장동 5층 517호",치과용 합금,
191,소기업,(주)마미유통,"인천광역시 부평구 평천로255번길 13, 4층 404호 (청천동) 4층 404호",면장갑,02-2659-2860
192,소기업,(주)마스터코리아,"인천광역시 부평구 주부토로 236, 제디동 5층 510호(갈산동) 제디동 5층 510호",스테이지,02-2636-0369
193,소기업,(주)마이데이즈,인천광역시 부평구 부평북로236번길 19 (청천동),마스크,070-7786-4144
194,소기업,(주)마이데이즈,"인천광역시 부평구 안남로369번길 30, 1층 (청천동)",마스크,032-505-5088
195,소기업,(주)마이비클,"인천광역시 부평구 무네미로448번길 56, 역사관 202호(구산동, 한국폴리텍대학(인천캠퍼스))",운전석 메모리 시트 제어기,032-503-5051
196,소기업,(주)막셀,"인천광역시 부평구 부평대로 283, B동 5층 507 (청천동, 부평 우림라이온스밸리)",연료전지 MEA,
197,소기업,(주)맥원,"인천광역시 부평구 부평대로 283, B동 6층 603호 (청천동, 부평 우림라이온스밸리) B동 6층 603호",전자부품,070-4141-5868
198,소기업,(주)맥원,"인천광역시 부평구 부평대로 283, B동 5층 509 (청천동, 부평 우림라이온스밸리) B동 5층 509호",전자부품,070-4141-5868
199,소기업,(주)머치그로발,"인천광역시 부평구 안남로 423, 215호 (청천동)",LED조명,070-4300-0447
200,소기업,(주)멀티씨에스,인천광역시 부평구 경인로 918 (부평동),머드팩,032-529-7733
201,소기업,(주)메가젠임플란트,"인천광역시 부평구 부평대로 293, 부평테크시티 7층 709호 (청천동)",치과용 유니트 체어,02-6003-2002
202,소기업,(주)메달뱅크,"인천광역시 부평구 주부토로 236, C동 2107호(갈산동, 인천테크노밸리 U1센터) C동 2107호",스포츠 용품 관련 기계자수,
203,소기업,(주)메디노바,"인천광역시 부평구 부평대로 283, C동 2층 203B, 204호 (청천동, 부평 우림라이온스밸리)","의료기기, 소모품",032-623-5034
204,소기업,(주)메센무역,"인천광역시 부평구 부평대로 283, B동 406호 (청천동)",금속가공제품,
205,소기업,(주)메쎈에이치앤티,"인천광역시 부평구 부평대로 301, 1동 7층 711 (청천동, 남광센트렉스)",온도센서기계,032-541-3050
206,소기업,(주)메이튼,인천광역시 부평구 안남로 404 (청천동),자동차 부품,070-5102-3009
207,소기업,(주)메인,"인천광역시 부평구 부평대로 337, 8층 827호(청천동, 부평 제이타워3차 지식산업센터) 8층 827호","제품 디자인(매트리스,애견방석)",
208,소기업,(주)명성산업,"인천광역시 부평구 청천2동 175-5,6번지","플라스틱가구부품,모조장식품",032-515-5090
209,소기업,(주)명성전기,"인천광역시 부평구 부평대로 337, 10층 1041호(청천동, 부평 제이타워3차 지식산업센터) 10층 1041호",배전반,032-433-8266
210,소기업,(주)명신티엠,인천광역시 부평구 청천마차로 106 (청천동),"Power base, Rack jack",032-544-0761
211,소기업,(주)명지실리콘,"인천광역시 부평구 새벌로 44, 416 (청천동)",실리콘고무제품,032-508-6550
212,소기업,(주)명진에프앤엘,"인천광역시 부평구 부평대로 301, 3층 24호 (청천동, 남광센트렉스), 25호",모직물,032-363-3604
213,소기업,(주)모닝상사,인천광역시 부평구 백범로577번길 15-12 (십정동),"남녀 작업복, 근무복, 외투",032-578-5181
214,소기업,(주)모던테크,"인천광역시 부평구 부평대로 283 (청천동, 부평 우림라이온스밸리) 씨동 8층 806호 외 2필지","유선통신기기, 물리치료용 기기",032-682-9430
215,소기업,(주)모두함께하는세상,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 840호,시설물 유지관리,
216,소기업,(주)모모비비,"인천광역시 부평구 부평대로 293, 10층 1010호(청천동, 부평테크시티)",영상 콘텐츠 제작,
217,소기업,(주)모베이스부평공장,인천광역시 부평구 새벌로 39 (청천동) 외 1필지,휴대폰케이스,032-500-5822
218,소기업,(주)모임미디어,"인천광역시 부평구 주부토로 236, 씨(C)동 805호(갈산동, 인천테크노밸리 U1센터) 씨(C)동 805호 외 1필지",LED 전광판,032-209-1766
219,소기업,(주)모텍,"인천광역시 부평구 주부토로 236, 제씨동 19층 1916호(갈산동) 제씨동 19층 1916호","기계밀봉부품(메카니 칼씰), 등명구, 고무패킹, 절연선 케이블 외",032-209-1392
220,소기업,(주)미도금속,인천광역시 부평구 부평북로 3 (청천동),"동관, 방열기, 분배기",032-514-5900
221,소기업,(주)미라이테크,"인천광역시 부평구 세월천로 209 (청천동, 미라이테크)",금형,032-578-8840
222,소기업,(주)미라이테크,"인천광역시 부평구 세월천로 209 (청천동, 미라이테크)",금형,032-578-8840
223,소기업,(주)미라텍스,"인천광역시 부평구 부평북로236번길 49, 301호, 302호 (청천동)",의류,032-715-7916
224,소기업,(주)미래인,"인천광역시 부평구 부평대로 337, 9층 929호(청천동, 부평 제이타워3차 지식산업센터) 9층 929호 외 1필지",3D 프린터,
225,소기업,(주)미로,"인천광역시 부평구 백범로577번길 20, 공장동 741호(십정동, 경인센타)",부직포를 이용한 생활용품,032-582-0761
226,소기업,(주)미세먼지연구소,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 12층 1222호, 1223호",환경공학연구,
227,소기업,(주)미연다,인천광역시 부평구 부평북로236번길 12 (청천동) 1동 2층,공산품 마스크,032-505-5088
228,소기업,(주)미연다글로벌,"인천광역시 부평구 부평북로236번길 19, 202호(청천동)",마스크,032-505-5088
229,소기업,(주)미연다글로벌,"인천광역시 부평구 안남로369번길 30, 1층 (청천동)",마스크,032-505-5088
230,소기업,(주)믹스앤매치,인천광역시 부평구 평천로73번길 14 (청천동),"화장품(네일, 펜슬)",032-540-9800
231,소기업,(주)민영,"인천광역시 부평구 부평대로 337, 10층 1018호(청천동, 부평 제이타워3차 지식산업센터) 10층 1018호",배전반 및 전기자동제어반 등,032-201-6555
232,소기업,(주)바이칼,"인천광역시 부평구 부평대로 283, B동 6층 4호 (청천동, 부평 우림라이온스밸리)","천연살균제,기타특수목정용기계",043-883-1278
233,소기업,(주)반석하이테크,"인천광역시 부평구 백범로578번길 65, 301호 (십정동)","금속도금, 욕조자재, 건축물자재 등",032-583-8772
234,소기업,(주)백야라이팅,"인천광역시 부평구 안남로 404, 2층(청천동)",조명기구,032-724-9876
235,소기업,(주)베리어스스튜디오,"인천광역시 부평구 부평대로 293, 10층 1020호(청천동, 부평테크시티)",응용 소프트웨어 개발 및 공급업,032-650-5767
236,소기업,(주)베베데코,인천광역시 부평구 평천로199번길 10 (청천동),"커튼, 문패, 시계, 침구류",
237,소기업,"(주)벤치소프트 (BENCH SOFT CO., Ltd.)","인천광역시 부평구 주부토로 236, 제에이동 9층 에스907호(갈산동) 제에이동 9층 에스907호",이동형 멀티콘서트,070-7841-0310
238,소기업,(주)벨리즈코리아,"인천광역시 부평구 백범로577번길 20, 6층 648 (십정동, 경인센타) 6층 648호","헤어고데기, 드라이기 등",070-7178-9042
239,소기업,(주)보드랩,"인천광역시 부평구 부평대로 283, 비동 8층 803C,704 (청천동, 부평 우림라이온스밸리) 외 2필지",전자부품,1544-7192
240,소기업,(주)보성글로벌,"인천광역시 부평구 부평대로 301, 7층 703 (청천동, 남광센트렉스)",자동화설비,032-363-3744
241,소기업,(주)보승일렉트릭,인천광역시 부평구 항동로 3(부개동),LED 조명기구,032-662-1230
242,소기업,(주)보아스,인천광역시 부평구 새벌로 44 (청천동),손끼임 방지제픔,032-266-9876
243,소기업,(주)부광정공,인천광역시 부평구 항동로143번길 10-27 (일신동),PUNCH 류,032-527-5464
244,소기업,(주)부성엔지니어링,인천광역시 부평구 부평대로329번길 29 (청천동),연포장제조설비,032-505-7041
245,소기업,(주)부텍스,인천광역시 부평구 새벌로 29 (청천동) 7층 710호,LED조명기구,032-523-0666
246,소기업,(주)부평테크시티,"인천광역시 부평구 부평대로 293, 120호(청천동, 부평테크시티) 외 6필지","임대업,공급업",02-3443-5350
247,소기업,(주)부활피앤피,"인천광역시 부평구 부평대로 337, 4층 431호(청천동, 부평 제이타워3차 지식산업센터) 4층 431호",플라스틱 화분,
248,소기업,(주)뷰티누리,"인천광역시 부평구 부평대로 301, 8층 811 (청천동, 남광센트렉스)",미용용품,032-265-6262
249,소기업,(주)뷰티하이,인천광역시 부평구 안남로402번길 11 (청천동),화장품케이스,032-715-4156
250,소기업,(주)뷰팅크,인천광역시 부평구 부평북로236번길 49 (청천동),휴대폰케이스,032-507-7291
251,소기업,(주)브리오,"인천광역시 부평구 부평대로 293, 7층 705호(청천동, 부평테크시티) 7층 705호",배수로 도면,
252,소기업,(주)브이다임,"인천광역시 부평구 부평대로 293, 10층 1012호(청천동, 부평테크시티)",응용 소프트웨어 개발 및 공급업,070-8777-7720
253,소기업,(주)브이엠브이,"인천광역시 부평구 주부토로 236, 씨동 5층 504호(갈산동, 인천테크노밸리 U1센터) 씨동 5층 504호",밸브,032-678-7972
254,소기업,(주)블루모션테크놀로지,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 301호,302호","CNC컨트롤러,위치제어시스템",032-715-7906
255,소기업,(주)블루아이엔티,"인천광역시 부평구 아트센터로44번길 3, 2층 (십정동)",배터리 팩,070-4575-7787
256,소기업,(주)블루어,인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 1241호,vr소프트웨어 ,
257,소기업,(주)블루펜스,"인천광역시 부평구 백범로577번길 20, 627~628호(십정동)","오수처리용산기장치, 공기살균기",
258,소기업,(주)비더원파트너스,"인천광역시 부평구 부평대로 283, B동 5층 504호 (청천동, 부평 우림라이온스밸리) B동 5층 504호",경영컨설팅,
259,소기업,(주)비드마스타,"인천광역시 부평구 부평대로 283, A602호(청천동, 부평우림라이온스밸리) A602호",소프트웨어 개발,
260,소기업,(주)비바,"인천광역시 부평구 청중로 100, 2층 201호 (청천동)",블랙박스,070-5101-0711
261,소기업,(주)비바,"인천광역시 부평구 부평대로 293, 8층 801호(청천동, 부평테크시티) 8층 801호","CCTV, 영상감지장치, 기타무선통신장비",070-5101-0711
262,소기업,(주)비바,"인천광역시 부평구 청중로 100, 3층(청천동)","기타 무선통신 장비, LED 조명기기,원격 무선 검침기,  NDVR, AI CCTV CAMERA",070-5101-0711
263,소기업,(주)비섹전자,"인천광역시 부평구 부평대로 283, C동 B층 229호 (청천동, 부평 우림라이온스밸리) 외 2필지",TFT LCD MODULE외,032-623-6149
264,소기업,(주)비앤디엔지니어링,"인천광역시 부평구 부평대로 283, C동 8층 801 (청천동, 부평 우림라이온스밸리) C동 8층 801호 C동 8층 801호","농축기, 증류탑 엔지니어링",032-330-6460
265,소기업,(주)비앤에스,"인천광역시 부평구 부평대로 283, 비동 6층 604호 (청천동) 비동 6층 604호",세단기용콘트롤러,032-623-7400
266,소기업,(주)비앤지트레이딩,"인천광역시 부평구 부평대로 301, 4층 421호 (청천동, 남광센트렉스) 외 2필지",견과류 가공품,032-503-6700
267,소기업,(주)비앤케이테크,"인천광역시 부평구 일신로 71, 지하1층 (일신동)",금형,032-502-5464
268,소기업,(주)비에스엔지니어링,"인천광역시 부평구 새벌로 29, 8층 818호(청천동, 부평테크노타워) 8층 818호",보일러 온도조절기,032-548-0296
269,중기업,(주)비에이치,인천광역시 부평구 평천로199번길 25 (청천동),연성인쇄회로,032-510-2000
270,중기업,(주)비에이치,인천광역시 부평구 평천로199번길 13 (청천동),FPCB,032-510-2000
271,소기업,(주)비엔솔루션,"인천광역시 부평구 부평대로 337 (청천동) 부평 제이타워3차 지식산업센터 820,821,822호","PC, 노트북 제조, 소프트웨어 개발",070-8780-5034
272,소기업,(주)비엔이,"인천광역시 부평구 안남로402번길 76, 5층 일부(청천동, (주)이피아이티)",필터백,
273,소기업,(주)비엔케이글로벌,"인천광역시 부평구 부평대로 283, C동 2층 208호(청천동, 부평우림라이온스밸리) C동 2층 208호",콜센터 및 텔레마케팅,02-1644-6247
274,중기업,(주)비엘비,인천광역시 부평구 부평대로297번길 79(청천동),화장용 분첩,
275,소기업,(주)비엘존,"인천광역시 부평구 청천마차로 8, 5층 (청천동)","안정기,LED컨버터",032-561-0859
