순번,회사명,생산품,업종명,공장대표주소(도로명),전화번호,데이터기준일자
164,(주)다원패키지,종이상자,골판지 상자 및 가공제품 제조업,인천광역시 서구 건지로97번길 33-27 (석남동),070-4192-0733,2025-04-02
165,(주)다인누리,종이컵,식품 위생용 종이 상자 및 용기 제조업,인천광역시 서구 북항로 76-45 (원창동),032-571-1728,2025-04-02
166,(주)다인누리,마스크,기타 직물제품 제조업,인천광역시 서구 백범로910번길 49-6(가좌동),032-571-1728,2025-04-02
167,(주)다인스,욕실장,플라스틱 필름 제조업 외 1 종,인천광역시 서구 대곡로89번안길 24-10 (대곡동),032-561-4211,2025-04-02
168,(주)다정하이테크,방부목재 등,"목재 보존, 방부처리, 도장 및 유사 처리업 외 6 종",인천광역시 서구 북항로363번길 14-11 (원창동),032-577-4970,2025-04-02
169,(주)다함,마스크,기타 직물제품 제조업,인천광역시 서구 건지로 88 (가좌동) 2층,032-572-1592,2025-04-02
170,(주)닥터손,통증완화용 패치,완제 의약품 제조업,인천광역시 서구 보듬로 158 (오류동) 블루텍 1동 2층 216호,,2025-04-02
171,(주)단지,떡,떡류 제조업,인천광역시 서구 원창로89번길 14-7(원창동),032-322-9958,2025-04-02
172,(주)단해,"중앙집중여과설비 및 차량후방카메라, 전동실린더",전기경보 및 신호장치 제조업 외 1 종,"인천광역시 서구 갑문2로 43(오류동, 단해창도클러스터-(주)단해)",032-455-5581,2025-04-02
173,(주)대건건축가구,사무용 목재가구,기타 목재가구 제조업,"인천광역시 서구 가좌로 33, 1층 (가좌동)",032-203-4207,2025-04-02
174,(주)대건건축가구,목재가구,기타 목재가구 제조업,"인천광역시 서구 가남로 61,(가좌동, 토지산업2차 지식산업센터) 에이동 1층 120호",032-203-4207,2025-04-02
175,(주)대건전기제어,전기자동제어반,배전반 및 전기 자동제어반 제조업,"인천광역시 서구 건지로284번길 113, 107호 (가좌동)",032-575-8804,2025-04-02
176,(주)대경축산,닭고기가공,가금류 가공 및 저장 처리업,인천광역시 서구 백범로604번길 67 (가좌동),032-584-3777,2025-04-02
177,(주)대광엔텍,철구조물 부품,육상 금속 골조 구조재 제조업 외 1 종,"인천광역시 서구 건지로250번길 75-1 (가좌동, 진성기계)",032-772-8990,2025-04-02
178,(주)대광엔텍,"기타 철구조물, 집진장치, 안전벨트 유닛, 부유철산화물 포집장치",육상 금속 골조 구조재 제조업 외 2 종,인천광역시 서구 마중로 115(오류동),032-772-8990,2025-04-02
179,(주)대광인더스트리,모터 및 홴 기타 부직포 필터,기체 여과기 제조업 외 3 종,"인천광역시 서구 사렴로9번길 11 (경서동, 1동)",032-568-8898,2025-04-02
180,(주)대기정공,가공공작기계제조,기타 가공 공작기계 제조업,인천광역시 서구 원전로38번길 5 (경서동),032-565-9719,2025-04-02
181,(주)대농엔지니어링 ,산업기계,컨베이어장치 제조업 외 2 종,인천광역시 서구 보듬2로 11 (오류동),02-859-8511,2025-04-02
182,(주)대덕목재,데크목.금속울타리,일반 제재업 외 2 종,인천광역시 서구 원석로196번길 16 (원창동),032-579-4604,2025-04-02
183,(주)대덕케미칼,전자부품표면처리,도금업,인천광역시 서구 백범로934번길 38-14 (가좌동),032-576-0711,2025-04-02
184,(주)대도볼트,화스너,볼트 및 너트류 제조업,인천광역시 서구 검단로102번길 2 (오류동),032-567-1750,2025-04-02
185,(주)대동정밀,"플라스틱제품(창호부품), 프레스제품(창호시공부자재)",운송장비 조립용 플라스틱제품 제조업 외 4 종,인천광역시 서구 로봇랜드로249번길 46-51 (청라동),032-542-0295,2025-04-02
186,(주)대동티에스 검단지점,"씽크대부품, 금속주방용기 ",수동식 식품 가공기기 및 금속 주방용기 제조업,인천광역시 서구 마중로 142 (오류동),032-554-7711,2025-04-02
187,(주)대림산업,에폭시,합성수지 및 기타 플라스틱 물질 제조업 외 1 종,인천광역시 서구 도담로 138 (오류동) 외 1필지,032-561-5502,2025-04-02
188,(주)대명종합상사,"AC door, 스마트 바",기타 1차 비철금속 제조업 외 1 종,"인천광역시 서구 백범로 633 (가좌동, 마동)",032-426-6318,2025-04-02
189,(주)대산기전,유공압 자동화기계 및 유압부품,그 외 기타 특수목적용 기계 제조업 외 1 종,"인천광역시 서구 마중로 168, 검단일반산업단지 35블럭6 (오류동)",032-562-0556,2025-04-02
190,(주)대상에스앤티,"욕실악세사리,핸드레일",금속 위생용품 제조업,인천광역시 서구 석남로 18 (석남동),032-529-9997,2025-04-02
191,(주)대성디앤에프,주방가구 외 ,"목재 보존, 방부처리, 도장 및 유사 처리업 외 2 종",인천광역시 서구 도담5로 85 (오류동) 외 1필지,032-582-2100,2025-04-02
192,(주)대성엔지니어링,산업용 점화장치 및 산업용 화염감지 장치,기기용 자동측정 및 제어장치 제조업 외 3 종,인천광역시 서구 심곡로124번길 20 -2(심곡동) 2층,070-4202-6456,2025-04-02
193,(주)대성제이테크,"컨베이어장치, 이송설비, 환경설비, 발전설비",컨베이어장치 제조업 외 2 종,인천광역시 서구 보듬4로 13(오류동),032-569-5863,2025-04-02
194,(주)대성철강레이져,철판 임가공,육상 금속 골조 구조재 제조업 외 1 종,인천광역시 서구 마중4로 34 (오류동),032-564-0244,2025-04-02
195,(주)대성축산,"삼겹,목살,돈갈,전지,후지,등심,안심",육류 포장육 및 냉동육 가공업 (가금류 제외),인천광역시 서구 백범로630번길 19 (가좌동),032-578-6191,2025-04-02
196,(주)대성코어,소방용기계기구,"탭, 밸브 및 유사장치 제조업 외 2 종",인천광역시 서구 도담3로 14 (오류동),032-563-2788,2025-04-02
197,(주)대세영,유기질 비료 및 상토,유기질 비료 및 상토 제조업,인천광역시 서구 원당대로206번길 33(오류동),032-564-6840,2025-04-02
198,(주)대승기전,"수,배전반",배전반 및 전기 자동제어반 제조업,인천광역시 서구 보도진로42번길 18 (가좌동) 외 1필지,032-582-2767,2025-04-02
199,(주)대신기공,배관,그 외 기타 금속가공업,인천광역시 서구 봉수대로 207(가좌동) 외 3필지,061-685-6165,2025-04-02
200,(주)대아전기,"조명기구, LED램프",일반용 전기 조명장치 제조업 외 3 종,인천광역시 서구 염곡로134번길 11 (가좌동),032-811-9240,2025-04-02
201,(주)대양목재,제재목,일반 제재업,"인천광역시 서구 보도진로53번길 17 (가좌동, A동)",032-572-1180,2025-04-02
202,(주)대양목재,"우드슬랩, 제재목",소파 및 기타 내장가구 제조업 외 1 종,인천광역시 서구 건지로 45-18 (석남동),032-572-1180,2025-04-02
203,(주)대양전자,"해녀안전지킴이, 투승기, 전기전자제품","전기회로 개폐, 보호장치 제조업 외 2 종",인천광역시 서구 보도진로 66-5 (가좌동) 2층 일부,032-821-0277,2025-04-02
204,(주)대영금속,알루미늄 병마개,금속 캔 및 기타 포장용기 제조업,인천광역시 서구 정서진8로 33 (오류동),032-575-6551,2025-04-02
205,(주)대영기업,우드칩,표면 가공 목재 및 특정 목적용 제재목 제조업,인천광역시 서구 건지로121번길 38 (석남동),032-574-2121,2025-04-02
206,(주)대영기전,자동차부품,그 외 자동차용 신품 부품 제조업 외 4 종,"인천광역시 서구 원창로 81 (원창동, 공장)",032-583-0341,2025-04-02
207,(주)대영라이팅,"조명기구, 조명제어",일반용 전기 조명장치 제조업 외 1 종,인천광역시 서구 건지로121번길 42 (석남동),032-578-3722,2025-04-02
208,(주)대운전자,인쇄회로기판,인쇄회로기판용 적층판 제조업,인천광역시 서구 백범로810번길 30 (가좌동),,2025-04-02
209,(주)대웅월드,선풍기,기타 가정용 전기기기 제조업,인천광역시 서구 봉수대로1581번길 7-2 (금곡동),02-960-4600,2025-04-02
210,(주)대원비앤에프,이불,침구 및 관련제품 제조업,인천광역시 서구 염곡로134번길 7 (가좌동),032-584-8565,2025-04-02
211,(주)대원엔지니어링엘리베이터,엘리베이터부품,승강기 제조업,"인천광역시 서구 봉수대로277번길 15 (석남동, 대원엔지니어링 가동)",032-577-4814,2025-04-02
212,(주)대원테크놀로지,"리프트제어반, 공기살균기, 와이어하네스, 리프트비상구출장치",배전반 및 전기 자동제어반 제조업 외 3 종,인천광역시 서구 염곡로 86 (가좌동),032-584-8266,2025-04-02
213,(주)대윤산업,보행매트,특수 직물 및 기타 직물 직조업,인천광역시 서구 원석로196번길 16 (원창동),032-575-8930,2025-04-02
214,(주)대일라바테크,"고무 O-RING, PACKING",그 외 기타 고무제품 제조업,인천광역시 서구 중봉대로376번길 18-1 (원창동),032-579-2300,2025-04-02
215,(주)대일매스램,"인쇄회로기판, 다층회로기판(MLB PCB)",경성 인쇄회로기판 제조업 외 2 종,인천광역시 서구 중봉대로198번길 43 (가좌동) 외 1필지,032-582-9808,2025-04-02
216,(주)대일열기,중앙난방보일러 및 방열기 ,산업용 난방보일러 및 방열기 제조업 외 1 종,인천광역시 서구 백범로934번길 6-16 (가좌동),032-574-9044,2025-04-02
217,(주)대일임업,목재제재,일반 제재업,인천광역시 서구 봉수대로501번길 67 (원창동),032-573-8330,2025-04-02
218,(주)대주,가구,기타 목재가구 제조업,인천광역시 서구 도담8로 27 (오류동),031-945-2211,2025-04-02
219,(주)대진,플라스틱 성형용기,포장용 플라스틱 성형용기 제조업,"인천광역시 서구 보도진로42번길 15 (가좌동, (주)서진에이엘공업)",032-575-1166,2025-04-02
220,(주)대진에프엠씨,"열처리로부품,산업기계제작","산업용 오븐, 노 및 노용 버너 제조업 외 1 종",인천광역시 서구 검단로114번길 16 (오류동) 외 2필지,032-561-0763,2025-04-02
221,(주)대진엔지니어링,"항온항습기, 대형온습도환경조성실, 환경시험장비, 배터리시험기, 금속가공",공기 조화장치 제조업 외 4 종,인천광역시 서구 봉수대로161번길 43 (가좌동),032-584-8822,2025-04-02
222,(주)대진프라텍,"화장품용기,생활용품",포장용 플라스틱 성형용기 제조업,인천광역시 서구 도곡로 296 (대곡동),032-561-2715,2025-04-02
223,(주)대진하이테크,"수배전반, 전동기제어반, 분전반",배전반 및 전기 자동제어반 제조업,"인천광역시 서구 검단천로356번길 11, 나동 2층(오류동)",070-4640-4124,2025-04-02
224,(주)대진하이텍,"LED조명, LED모듈",일반용 전기 조명장치 제조업,"인천광역시 서구 백범로630번길 16, 7층 706 (가좌동) 7층 706호",070-4062-1514,2025-04-02
225,(주)대청시스템스,배전반및자동제어반,배전반 및 전기 자동제어반 제조업 외 4 종,인천광역시 서구 건지로109번길 47 (석남동),032-581-9420,2025-04-02
226,(주)대표식품,쌀국수,"면류, 마카로니 및 유사식품 제조업","인천광역시 서구 보듬로 158,(오류동, 블루텍) 1동 7층 728호",032-569-5857,2025-04-02
227,(주)대하,폴리에스터필름,플라스틱 필름 제조업,인천광역시 서구 마중로 11 (오류동),02-2675-2758,2025-04-02
228,(주)대한페이퍼,화장지,위생용 종이제품 제조업,"인천광역시 서구 검단로326번길 81-31, 1동 (왕길동)",070-8766-8931,2025-04-02
229,(주)대현기공,금속저장용기,금속탱크 및 저장용기 제조업 외 1 종,"인천광역시 서구 가남로 93 (가좌동, 대현기공)",032-572-6705,2025-04-02
230,(주)대현단자,자동차용 터미널(단자),"전기회로 개폐, 보호장치 제조업",인천광역시 서구 파랑로466번길 75 (청라동),032-584-7234,2025-04-02
231,(주)대현목재,"목재판재,방부목,제재목,금속울타리, 놀이터용기구",표면 가공 목재 및 특정 목적용 제재목 제조업 외 6 종,인천광역시 서구 북항로363번길 27(원창동),032-577-7667,2025-04-02
232,(주)대현엘리베이터,엘리베이터부속,승강기 제조업,인천광역시 서구 도곡로 151 (대곡동) 외 1필지,032-567-6722,2025-04-02
233,(주)대현코퍼레이션,수배전반,"전기회로 개폐, 보호장치 제조업 외 1 종","인천광역시 서구 신진말로28번길 10 (가좌동, (주)대현코퍼레이션)",032-575-2049,2025-04-02
234,(주)대현테크,"금형,플라스틱 사출",운송장비 조립용 플라스틱제품 제조업,인천광역시 서구 장고개로126번길 17-2 (가좌동),032-676-9914,2025-04-02
235,(주)대현하이텍,"포장기계, 컨베이어, 기타 일반목적용 기계, 산업용 로봇, 배전반 및 전기자동제어반","용기 세척, 포장 및 충전기 제조업 외 4 종",인천광역시 서구 파랑로482번길 16(청라동),032-679-2180,2025-04-02
236,(주)대협정기,"엘리베이터 SHEAVE, 기어제작",절삭가공 및 유사처리업 외 1 종,인천광역시 서구 건지로97번길 68 (석남동),032-575-1504,2025-04-02
237,(주)대호시리카,규사,비금속광물 분쇄물 생산업 외 1 종,인천광역시 서구 보듬로 11 (오류동),032-565-4240,2025-04-02
238,(주)대호시리카,규사,비금속광물 분쇄물 생산업,인천광역시 서구 보듬로 52 (오류동),032-565-4240,2025-04-02
239,(주)대홍,밸브및자동차부품,절삭가공 및 유사처리업 외 1 종,"인천광역시 서구 거북로 30-1, 비동103호 (석남동)",032-571-8640,2025-04-02
240,(주)대화이에스,수도부품,"탭, 밸브 및 유사장치 제조업","인천광역시 서구 봉수대로 1548-29 (금곡동, 공장)",032-565-9179,2025-04-02
241,(주)대흥엠피에스,탄성고무블럭,간판 및 광고물 제조업 외 2 종,"인천광역시 서구 염곡로15번길 17-1, 1층103호 (가좌동)",032-891-0344,2025-04-02
242,(주)대흥푸드,냉동식품,육류 기타 가공 및 저장처리업 (가금류 제외) 외 5 종,인천광역시 서구 검단로93번길 9 (오류동),032-715-5785,2025-04-02
243,(주)더난,"과자류, 마카롱류",과자류 및 코코아 제품 제조업 외 1 종,"인천광역시 서구 백범로934번길 12, 3층(가좌동)",032-576-8572,2025-04-02
244,(주)더메이크,임대,비주거용 건물 임대업,"인천광역시 서구 가람로 14, 510호 (오류동, 인천표면처리센터 요진코아텍) 510호",031-8084-3650,2025-04-02
245,(주)더바이오,마스크,기타 직물제품 제조업,인천광역시 서구 건지로109번길 11 (석남동),032-266-5500,2025-04-02
246,(주)더벨류,방풍비닐,그 외 기타 플라스틱 제품 제조업,"인천광역시 서구 가정로 127-1, 지층 5호, 7호 일부(가좌동, 신명상가)",,2025-04-02
